dataset,feature,normal_vs_attack_effect_size,single_feature_auc,train_vs_test_shift,PSI,wasserstein,ks_statistic
road,id_entropy,-0.13456305861473083,0.5284146181182953,0.09790333,0.03700442830450413,0.0979065390275115,0.02031708
road,unique_id_ratio,-0.06794795393943787,0.5139779329719091,0.06925544,0.052090945304715856,0.07085788811920117,0.019093022
road,top_id_frequency,0.16503053903579712,0.5407328050588941,-0.11648501,0.046526096258849216,0.11648501515622414,0.040915668
road,payload_mean,0.13358362019062042,0.5246544911197889,0.078950904,0.04037369410923923,0.09897635501732882,0.0489583
road,payload_std,0.702610433101654,0.697802686700016,0.014108633,0.06606320832624452,0.07023421335783872,0.03004177
road,payload_min,,0.5,0.0,2.0164213921000987e-15,0.0,0.0
road,payload_max,0.32345789670944214,0.5357375705530615,0.027189627,0.0015765674823584885,0.027249749108569265,0.0075336397
road,dlc_mean_norm,,0.5,0.0,2.0164213921000987e-15,0.0,0.0
road,dlc_std_norm,,0.5,0.0,2.0164213921000987e-15,0.0,0.0
road,delta_t_global_mean,-0.009614881128072739,0.5014317384389823,-0.011439182,0.07915359537307065,0.02635177289731705,0.020218432
road,delta_t_global_std,-0.01917482167482376,0.519553041664447,0.0006123057,0.08061094314402384,0.013032118171169282,0.07262832
road,delta_t_same_id_mean,-0.026537610217928886,0.5033325472317295,-0.0028003964,0.021965809439732885,0.013231336771739205,0.016548514
road,delta_t_same_id_std,-0.02062259614467621,0.5105057413876326,-0.0011379669,0.019002342996547045,0.01691093373380908,0.016543448
road,payload_delta_l1_mean,0.0368892066180706,0.5417905835403913,-0.1212651,0.04777938422220576,0.1212705327927367,0.071168244
road,payload_delta_l1_std,0.24770735204219818,0.5042248263386767,-0.08345213,0.025532578470612428,0.0891618150421206,0.05472207
road,payload_change_rate,-0.4361856281757355,0.629290932812973,-0.05815995,0.05200011639367319,0.06298292053495283,0.051397532
road,transition_prob_mean,-0.09863238036632538,0.5217084960412506,0.054622877,0.09164921905050359,0.08525969488147345,0.027475044
road,transition_prob_std,-0.33987751603126526,0.5945266072448474,0.025367947,0.10379749257025497,0.05158289540197916,0.014638383
road,transition_rarity_mean,0.13009697198867798,0.5031052885669645,0.0058683045,0.016880714351589898,0.02088293702476239,0.004815817
road,transition_rarity_std,0.17179825901985168,0.5147041203706881,0.22571613,0.03675669208375606,0.22584215049050077,0.053260446
road,topk_successor_hit_mean,,0.5,0.0,2.0164213921000987e-15,0.0,0.0
road,delta_t_global_z_mean,-0.009614884853363037,0.501431159722229,-0.011441227,0.07928034548591532,0.026356495328968187,0.020218432
road,delta_t_same_id_z_mean,-0.026537617668509483,0.5033325268064324,-0.002800136,0.02196674223171345,0.013230101070412881,0.016548514
road,transition_prob_max,0.024266306310892105,0.5032363100398887,-0.071843624,5.259688882604794e-05,0.07184358392331182,0.0002430837
road,transition_rarity_max,0.16154317557811737,0.5484332306022587,0.3334915,0.048941720926411324,0.3335870918381066,0.054174304
road,topk_successor_hit_ratio,,0.5,0.0,2.0164213921000987e-15,0.0,0.0
ctt_test01,id_entropy,-2.001512050628662,0.9075347640671042,-0.16624649,0.014149005273043282,0.16924242325994351,0.017342415
ctt_test01,unique_id_ratio,-0.951593279838562,0.7535617363454296,-0.027846448,0.014916252564518843,0.03296133500691398,0.013283789
ctt_test01,top_id_frequency,2.2598228454589844,0.9714812235784155,0.25494957,0.04929128306547742,0.2552778212663668,0.017857611
ctt_test01,payload_mean,-0.3125987648963928,0.5185608976987499,0.22604617,0.11173644714903783,0.2260604831099633,0.090301216
ctt_test01,payload_std,-1.569218635559082,0.8680369893285697,0.18746705,0.18525453019535537,0.1951273912724676,0.085324526
ctt_test01,payload_min,,0.5,0.0,2.4114628173746356e-19,0.0,0.0
ctt_test01,payload_max,,0.5,0.0,2.4114628173746356e-19,0.0,0.0
ctt_test01,dlc_mean_norm,,0.5,0.0,2.4114628173746356e-19,0.0,0.0
ctt_test01,dlc_std_norm,,0.5,0.0,2.4114628173746356e-19,0.0,0.0
ctt_test01,delta_t_global_mean,-2.355769634246826,0.9435703098772482,-0.116501085,0.012770267638433093,0.12191048714793475,0.017223297
ctt_test01,delta_t_global_std,-2.133718967437744,0.9496995817434567,0.14311767,0.10399890482063243,0.2665516663338133,0.10284233
ctt_test01,delta_t_same_id_mean,-0.5991367697715759,0.7699838244161118,-0.013326617,0.041956150090019025,0.024409359244715077,0.012565882
ctt_test01,delta_t_same_id_std,-0.1929950714111328,0.6161117197767462,-0.0047604116,0.11947327235991369,0.015874312853531566,0.033243895
ctt_test01,payload_delta_l1_mean,0.4008004367351532,0.5601929932560711,0.048905764,0.07680621112136171,0.07085266514252797,0.034601927
ctt_test01,payload_delta_l1_std,1.1105239391326904,0.7721292029188491,0.050547436,0.26712542632670144,0.0737690613489985,0.035963356
ctt_test01,payload_change_rate,-1.8047429323196411,0.8558828761476385,0.024187217,0.0554439152748637,0.08358859880266438,0.03029409
ctt_test01,transition_prob_mean,-2.071399211883545,0.9000621831556831,-0.09298015,0.17843795466787765,0.092994542579828,0.01977898
ctt_test01,transition_prob_std,-1.430334448814392,0.802914644906497,-0.07729822,0.015248718105680502,0.14426709964494094,0.019989014
ctt_test01,transition_rarity_mean,1.8956066370010376,0.9104911473872636,0.45467356,0.014354279986800968,0.4546754649306623,0.020641148
ctt_test01,transition_rarity_std,1.8608644008636475,0.9131760798265051,0.6750325,0.03755929334309366,0.6750325890254559,0.02524066
ctt_test01,topk_successor_hit_mean,,0.5,0.0,2.4114628173746356e-19,0.0,0.0
ctt_test01,delta_t_global_z_mean,-2.355769634246826,0.9435702957910267,-0.116501234,0.012790848313062026,0.12191066372886428,0.017223297
ctt_test01,delta_t_same_id_z_mean,-0.5991367697715759,0.7699838338069261,-0.013326588,0.041946793359494236,0.02440930745977931,0.012565882
ctt_test01,transition_prob_max,-0.603644073009491,0.6211577846794629,-0.017705135,0.0001673525646335475,0.01770512823692804,0.0044498965
ctt_test01,transition_rarity_max,1.9201157093048096,0.8863559514760468,0.3277156,0.008463055644175078,0.32773144774541946,0.031723738
ctt_test01,topk_successor_hit_ratio,,0.5,0.0,2.4114628173746356e-19,0.0,0.0
ctt_test02,id_entropy,-3.617119073867798,0.9515715184089514,5.5541105,14.401244299250656,5.558593262757962,0.9221869
ctt_test02,unique_id_ratio,-1.2650856971740723,0.8284021807955247,6.260438,39.267566468148075,6.260437866415162,0.99365646
