dataset,model,seed,label_ratio,epochs,aux_loss_weight,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,source_file
ctt_test03,cmf_can_supcon,42,1.0,15,0.2,ce,2.0,,none,f1_at_fpr_1em03,balanced,0.05,0.1,0.9157585092707332,0.7726218097447796,0.0443467838593687,0.0838790931989924,0.5198642100371063,0.1690947263648756,0.5868526858816885,0.0012430553793855,0.9556532161406311,0.0004200887924525,0.0231721933679584,0.0452535760728218,8.878966995611254e-05,0.0009667961276136,0.0382208017046211,0.0732610082961072,0.0004946853040411,0.0005532042705453,0.0430150486083366,0.0816790997597673,0.0009766863695172,0.0004588331212289,method_enhancement_supcon.csv
road,cmf_can,42,0.01,20,0.2,ce,2.0,,weighted,f1,none,,,0.959446285825697,0.6080038572806171,0.4608918128654971,0.5243243243243243,0.7515723150854783,0.5110118460391163,0.8354939927566993,0.0151444591397649,0.5391081871345029,0.915783216059208,0.0720029239766082,0.1341504937010555,7.451148408248421e-05,0.991041898727417,0.112938596491228,0.2012373819602735,0.0004843246465361,0.988400101661682,0.1622807017543859,0.2746674914939684,0.0009872771640929,0.9851062297821044,optimization_trials_road_1pct.csv
road,cmf_can,42,0.01,20,0.0,ce,2.0,,none,f1,balanced,,,0.9548910827912582,0.549869451697128,0.3848684210526316,0.4528058482046871,0.7146408824522377,0.4353870119100776,0.8055335030430425,0.0160572248197753,0.6151315789473685,0.8423946082592011,0.0621345029239766,0.1167983510821023,9.313935510310526e-05,0.9806684851646424,0.0906432748538011,0.1647840531561461,0.0004843246465361,0.9749814867973328,0.1239035087719298,0.2167519181585677,0.0009872771640929,0.9674014449119568,optimization_trials_road_1pct.csv
ctt_test01,cmf_can,42,0.01,15,0.2,ce,2.0,,weighted,f1,none,,,0.9063343972501842,0.1811377245508982,0.5007759958613555,0.2660436993266456,0.6080094394616687,0.3402727132598443,0.8972586071673682,0.0794350959356677,0.4992240041386446,0.1884684348106384,0.1681324366270046,0.2872293415819708,9.076222113307556e-05,0.506860613822937,0.1748577340920848,0.2944250871080139,0.0004538111056653,0.460912674665451,0.1821003621314019,0.3008547008547009,0.0009983844324638,0.4246979057788849,optimization_trials_ctt_1pct.csv
ctt_test01,cmf_can,42,0.01,15,0.2,focal,2.0,,weighted,f1,none,,,0.9702921679351828,0.7357001972386588,0.1929643041903776,0.3057377049180327,0.645279518743379,0.294953831300845,0.8284361363158221,0.0024324275263664,0.8070356958096223,0.4513074910640731,0.1686497672012415,0.2881131241714538,7.260977690646045e-05,0.5277056097984314,0.173305742369374,0.2920662598081953,0.0004719635498919,0.5009909868240356,0.1800310398344542,0.2990975504941985,0.0008350124344242,0.4820860624313354,optimization_trials_ctt_1pct.csv
ctt_test01,transformer,42,1.0,15,0.2,,,,,,,,,0.9976500298130546,1.0,0.9306777030522504,0.9640943193997856,0.9814397915078557,0.98438087210754,0.9968966598253644,0.0,0.0693222969477496,0.6055496573451536,0.9715468184169684,0.9850511408339888,3.630488845323023e-05,2.597585080366116e-07,0.9736161407139162,0.9812304483837332,0.0003812013287589,2.0429632741070241e-07,0.9741334712881532,0.9743855109961188,0.0008894697671041,1.813609173950681e-07,ctt_generalization_15ep.csv
ctt_test01,concat_fusion,42,1.0,15,0.2,,,,,,,,,0.9894251341587458,1.0,0.6880496637351268,0.8152007355194606,0.9048787819282248,0.975534988105138,0.9875688953576576,0.0,0.3119503362648732,2.895897769121824e-06,0.9555095706156234,0.9764736981231829,5.445733267984534e-05,1.9529724681888186e-07,0.9622348680807036,0.9753539590980598,0.0003812013287589,1.2949816152740826e-07,0.9632695292291774,0.97359477124183,0.0005445733267984,1.2079743783033337e-07,ctt_generalization_15ep.csv
ctt_test01,cmf_can,42,1.0,15,0.2,,,,,,,,,0.9979481603591596,1.0,0.9394723228142784,0.9687916777807416,0.9838654431335369,0.9781093030763408,0.9907451786831104,0.0,0.0605276771857216,5.481837160914888e-07,0.9653388515261252,0.9815886375591796,5.445733267984534e-05,1.6003291136712505e-07,0.9679255043973098,0.976768467762986,0.0004901159941186,1.200778569909744e-07,0.9684428349715468,0.9701995335579164,0.0009802319882372,1.0197000221978669e-07,ctt_generalization_15ep.csv
ctt_test02,transformer,42,1.0,15,0.2,,,,,,,,,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.0488543960236108,0.1151742375223511,1.0,0.0,0.6055488467219846,0.0,0.0,0.0,1.000000000001,0.0005349500713266,0.0010640184429863,0.0004756484957616,0.9999972581863404,0.0005349500713266,0.0010640184429863,0.0004756484957616,0.9999972581863404,ctt_generalization_15ep.csv
ctt_test02,concat_fusion,42,1.0,15,0.2,,,,,,,,,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.8291933931589583,0.93873470836008,1.0,0.0,2.8958961138414665e-06,0.2694365192582025,0.4241998877035373,8.493723138600574e-05,0.0698953568935394,0.4299215406562054,0.599155069582505,0.0004926359420388,0.0482848137617111,0.5381597717546363,0.6950713956701982,0.0009852718840776,0.0372380055487155,ctt_generalization_15ep.csv
