Dataset,Model key,Variant,F1,Macro-F1,AUPR,AUROC,Recall@FPR=1e-3,F1@FPR=1e-3
ctt_test02,cmf_can,Full,0.160038811123953,0.0800194055619765,0.8052438817376351,0.9609348015995924,0.153530670470756,0.2638271794086103
ctt_test02,concat_fusion,Concat,0.160038811123953,0.0800194055619765,0.8478827358712511,0.9514842881146496,0.5937945791726106,0.740329035126723
ctt_test02,frame_only,Frame,0.160038811123953,0.0800194055619765,0.3101152520683493,0.8557927779459426,0.0051711840228245,0.0101861608710923
ctt_test02,stats_only,Stats,0.1590141009206386,0.1008164597668099,0.8547503891951407,0.8855980415316163,0.8216833095577746,0.8974583698510078
ctt_test02,wo_stats,-Win,0.160038811123953,0.0800194055619765,0.6905296209624207,0.947236663200759,0.0841654778887303,0.1537960247637667
ctt_test02,wo_context,-Ctx,0.8527638190954774,0.918869731101452,0.9359482578635456,0.9704518139090932,0.8532453637660485,0.9157018467132332
ctt_test02,wo_xattn,-XAttn,0.160038811123953,0.0800194055619765,0.9061111906539266,0.965508164127908,0.5855920114122682,0.733854748603352
ctt_test02,wo_gate,-Gate,0.160038811123953,0.0800194055619765,0.9226291078418614,0.9698586148901582,0.7198644793152639,0.8321137792435329
ctt_test03,cmf_can,Full,0.0210831466596389,0.4880437689023339,0.2406828066657066,0.671911986985853,0.0789719003862032,0.1450055018950972
ctt_test03,concat_fusion,Concat,0.0345504515115822,0.4949278585464705,0.3251809766405391,0.7855826135302444,0.0834998002397123,0.1527219583485568
ctt_test03,frame_only,Frame,0.0239379192424043,0.4894934764028559,0.1418254197429395,0.5266037655462034,0.0399520575309628,0.0760841998478315
ctt_test03,stats_only,Stats,0.0945179584120983,0.5254544040386835,0.3875903890879949,0.858689863562965,0.0516713277400452,0.0973040752351097
ctt_test03,wo_stats,-Win,0.0528702863807179,0.5042835705468995,0.2128571190642675,0.6334580885375798,0.0596617392462378,0.1115121344119477
ctt_test03,wo_context,-Ctx,0.0205614867536575,0.4877771547948789,0.1574242486014133,0.5839250144640692,0.043281395658543,0.0822056405716453
ctt_test03,wo_xattn,-XAttn,0.0134920634920634,0.4841643707918975,0.2072198379213274,0.5991451336725331,0.0717805300306299,0.1326605956190007
ctt_test03,wo_gate,-Gate,0.0296510102335345,0.4924231594736539,0.2345210293021623,0.6749814806569618,0.0765747769343454,0.1409141036637667
ctt_test04,cmf_can,Full,0.0333350017518394,0.3749817190963312,0.1731022345205453,0.6828002530300887,0.135548172757475,0.221980413492927
ctt_test04,concat_fusion,Concat,0.0224936021191577,0.0117438873690571,0.213738277071198,0.6847415840613922,0.1521594684385382,0.2458400429414922
ctt_test04,frame_only,Frame,0.0359768544809908,0.3603725032868098,0.170763883819797,0.7530913914227273,0.1302325581395348,0.2140906608410704
ctt_test04,stats_only,Stats,0.0304826418289585,0.3037709691338478,0.3084637975823677,0.7561293691952772,0.2019933554817276,0.3135636926250645
ctt_test04,wo_stats,-Win,0.0225122471111775,0.0112561235555887,0.1424309132406376,0.6818326887471897,0.1196013289036544,0.1983471074380165
ctt_test04,wo_context,-Ctx,0.1821247892074199,0.5882922429402863,0.1235543072416896,0.6870154892595032,0.1196013289036544,0.1986754966887417
ctt_test04,wo_xattn,-XAttn,0.0237340220340645,0.0913916653494926,0.1563353591349444,0.7135211053505288,0.121594684385382,0.201430930104568
ctt_test04,wo_gate,-Gate,0.1124481747396096,0.5389812177099473,0.1298270267823226,0.6744992290767515,0.1169435215946843,0.1943677526228603
