dataset,label_ratio,models_tested,best_f1_model,best_f1_mean,best_f1_std,best_aupr_model,best_aupr_mean,best_lowfpr_model,best_recall_at_fpr_1em04_mean,cmf_can_f1_mean,cmf_can_aupr_mean,cmf_can_recall_at_fpr_1em04_mean,recommended_metric_policy
ctt_test01,0.01,"cmf_can,concat_fusion,transformer",transformer,0.7800775907642468,0.1388244299222776,transformer,0.8430109120622814,transformer,0.7478875668218659,0.6565083442995029,0.6959848209936151,0.4674943955854457,Report few-label stability with 3 seeds; avoid overclaiming CMF-CAN when Transformer/concat wins F1.
ctt_test01,0.05,"cmf_can,concat_fusion,transformer",cmf_can,0.9044536554245716,0.0251600950492343,cmf_can,0.9408226592767722,transformer,0.7939299879289532,0.9044536554245716,0.9408226592767722,0.622693567856527,Report few-label stability with 3 seeds; avoid overclaiming CMF-CAN when Transformer/concat wins F1.
ctt_test01,0.1,"cmf_can,concat_fusion,transformer",concat_fusion,0.9230826684409053,0.0192757747191629,concat_fusion,0.9537476174396928,transformer,0.8484221417485774,0.9175446876300724,0.94792393048636,0.6902914295568201,Report few-label stability with 3 seeds; avoid overclaiming CMF-CAN when Transformer/concat wins F1.
ctt_test01,0.2,"cmf_can,concat_fusion,transformer",concat_fusion,0.9422465025936996,0.0234780564728078,transformer,0.966317632493514,transformer,0.8961889981031211,0.9184382703579403,0.9584215694476612,0.678737713398862,Report few-label stability with 3 seeds; avoid overclaiming CMF-CAN when Transformer/concat wins F1.
ctt_test01,1.0,"cmf_can,concat_fusion,transformer",concat_fusion,0.936746705140236,0.0218142755596473,cmf_can,0.9803111763575486,cmf_can,0.9689601655457838,0.8012104069805415,0.9803111763575486,0.9689601655457838,Use calibrated low-FPR threshold; raw default F1 understates same-domain performance.
road,0.01,"cmf_can,concat_fusion,transformer",cmf_can,0.465465479301589,0.1117034640185159,cmf_can,0.4596791137294471,cmf_can,0.0685916179337231,0.465465479301589,0.4596791137294471,0.0685916179337231,"Use CMF-CAN as the label-efficiency result; report F1, AUPR, AUROC, and low-FPR recall together."
road,0.05,"cmf_can,concat_fusion,transformer",transformer,0.8165714611639633,0.0055192720033897,cmf_can,0.7829728900704379,cmf_can,0.5337475633528266,0.789090608055187,0.7829728900704379,0.5337475633528266,"Use Transformer for default F1 if needed, but CMF-CAN for ranking/low-FPR claims."
road,0.1,"cmf_can,concat_fusion,transformer",transformer,0.8149497459087435,0.010107365353219,cmf_can,0.7750777468269913,cmf_can,0.5711500974658869,0.7720978835069,0.7750777468269913,0.5711500974658869,"Use Transformer for default F1 if needed, but CMF-CAN for ranking/low-FPR claims."
road,0.2,"cmf_can,concat_fusion,transformer",transformer,0.8127104473735239,0.0041808575406212,cmf_can,0.8062299969228715,cmf_can,0.6742202729044834,0.7834830493993677,0.8062299969228715,0.6742202729044834,"Use Transformer for default F1 if needed, but CMF-CAN for ranking/low-FPR claims."
road,1.0,"cmf_can,concat_fusion,transformer",transformer,0.8256616385120698,0.002184465215723,cmf_can,0.8135167170203763,concat_fusion,0.7065058479532164,0.7904653825091303,0.8135167170203763,0.7021198830409356,"Use Transformer for default F1 if needed, but CMF-CAN for ranking/low-FPR claims."
