dataset,model,f1_mean,f1_std,recall_lowfpr_mean,recall_lowfpr_std
ROAD,Transformer,0.8256616385120698,0.002184465215723,0.7057748538011696,0.0038159015017948
ROAD,Concat,0.7910413895920305,0.0166596524615351,0.7065058479532164,0.0009670143680791
ROAD,CMF-CAN,0.7904653825091303,0.0240856224170174,0.7021198830409356,0.0038507506406625
CT&T test01,Transformer,0.9082459792778876,0.025473754752588,0.934816347646146,0.0122313403181964
CT&T test01,Concat,0.936746705140236,0.0218142755596473,0.9391274357647872,0.0043076378674933
CT&T test01,CMF-CAN,0.8012104069805415,0.152757876104803,0.9689601655457838,0.0013687280450412
HCRL,Transformer,1.0,0.0,1.0,0.0
HCRL,Concat,0.9997771339425006,0.0,1.0,0.0
HCRL,CMF-CAN,0.996667407242835,0.0,1.0,0.0
Car-Hacking,Transformer,0.999802986721305,0.0,0.9999212102111568,0.0
Car-Hacking,Concat,0.9983430645415812,0.0,0.9961393003466752,0.0
Car-Hacking,CMF-CAN,0.9982636148382004,0.0,0.9996848408446264,0.0
CrySyS,Transformer,0.9317212883326996,0.0030150472164103,0.1346454706030784,0.0617022485204056
CrySyS,Concat,0.930725519466192,1.819101146956925e-05,0.1391370174110522,0.0094425223789287
CrySyS,CMF-CAN,0.9318765710900708,0.0028767680332427,0.1622760534948271,0.0072854668354895
