Dataset,Variant,F1,Macro-F1
ROAD,Full CMF-CAN,0.7893805309734513,0.8902957973466197
ROAD,w/o window stats,0.8088811493252068,0.9003849226172245
ROAD,w/o ID context,0.8008762322015334,0.8962403936768937
ROAD,w/o cross-modal attn.,0.785888617705791,0.8884903667679891
ROAD,w/o gated fusion,0.7986827661909989,0.8951071080938833
ROAD,Concat fusion,0.7885764888200133,0.8898800502463634
ROAD,Frame-only,0.8,0.8957886181865199
ROAD,Stats-only,0.2581431806305522,0.609187746696874
CT&T test01,Full CMF-CAN,0.9687916777807416,0.9838654431335369
CT&T test01,w/o window stats,0.9241034195162636,0.9608158228621544
CT&T test01,w/o ID context,0.7484622855292975,0.8707297232702591
CT&T test01,w/o cross-modal attn.,0.9234196602617656,0.960464956745823
CT&T test01,w/o gated fusion,0.7284681130834977,0.8605134028598331
CT&T test01,Concat fusion,0.8152007355194606,0.9048787819282248
CT&T test01,Frame-only,0.9775547927119091,0.9883919333014546
CT&T test01,Stats-only,0.9419666845781838,0.9700043897682892
