Dataset,Variant,Description,F1,Macro-F1
ROAD,Full,full CMF-CAN,0.7893805309734513,0.8902957973466197
ROAD,-Win,without window statistics,0.8088811493252068,0.9003849226172245
ROAD,-Ctx,without ID context,0.8008762322015334,0.8962403936768937
ROAD,-XAttn,without cross-modal attention,0.785888617705791,0.8884903667679891
ROAD,-Gate,without gated fusion,0.7986827661909989,0.8951071080938833
ROAD,Concat,concatenation fusion,0.7885764888200133,0.8898800502463634
ROAD,Frame,frame-only,0.8,0.8957886181865199
ROAD,Stats,window statistics only,0.2581431806305522,0.609187746696874
CT&T KV-KA,Full,full CMF-CAN,0.9687916777807416,0.9838654431335369
CT&T KV-KA,-Win,without window statistics,0.9241034195162636,0.9608158228621544
CT&T KV-KA,-Ctx,without ID context,0.7484622855292975,0.8707297232702591
CT&T KV-KA,-XAttn,without cross-modal attention,0.9234196602617656,0.960464956745823
CT&T KV-KA,-Gate,without gated fusion,0.7284681130834977,0.8605134028598331
CT&T KV-KA,Concat,concatenation fusion,0.8152007355194606,0.9048787819282248
CT&T KV-KA,Frame,frame-only,0.9775547927119091,0.9883919333014546
CT&T KV-KA,Stats,window statistics only,0.9419666845781838,0.9700043897682892
