label_ratio,Model,f1_mean,f1_std,precision_mean,recall_mean,auroc_mean,aupr_mean
0.01,CMF-CAN,0.6565083442995029,0.3152070109555563,0.9489475153193002,0.5500948439386101,0.9205152188305012,0.6959848209936151
0.01,Concat-Fusion,0.6731526680539197,0.1985021809120361,0.8269181659099751,0.5849284359372305,0.9403160624455476,0.7380652354602161
0.01,Transformer,0.7800775907642468,0.1388244299222776,0.9839181286549707,0.6628729091222625,0.9646663549604948,0.8430109120622814
0.05,CMF-CAN,0.9044536554245716,0.0251600950492343,0.9757870746429332,0.8429039489567168,0.9848223873484244,0.9408226592767722
0.05,Concat-Fusion,0.8252560226196421,0.1418132319418063,0.97023965034795,0.73029832729781,0.9830220211060368,0.9335779017795884
0.05,Transformer,0.8900949578710443,0.0202514155830746,0.9748492337843956,0.8191067425418175,0.9731467283352684,0.9164889900303664
0.1,CMF-CAN,0.9175446876300724,0.0369454857911195,0.9825955502052404,0.8613554061045008,0.9846833626018412,0.94792393048636
0.1,Concat-Fusion,0.9230826684409053,0.0192757747191629,0.9865298877926082,0.8673909294705983,0.9848291377788392,0.9537476174396928
0.1,Transformer,0.9102304559828328,0.0179724456335628,0.9950003677150052,0.8389377478875669,0.9788913289667986,0.9455328291083132
0.2,CMF-CAN,0.9184382703579403,0.044869566286332,0.990276386414401,0.857906535609588,0.9843708863831004,0.9584215694476612
0.2,Concat-Fusion,0.9422465025936996,0.0234780564728078,0.9964606234289572,0.8941196758061735,0.9859449653012696,0.9657969535327026
0.2,Transformer,0.9199870936315716,0.0148146013364284,0.9998046111762408,0.8522158992929816,0.9826928730614726,0.966317632493514
1.0,CMF-CAN,0.8012104069805415,0.152757876104803,1.0,0.6880496637351268,0.9919568801599766,0.9803111763575486
1.0,Concat-Fusion,0.936746705140236,0.0218142755596473,0.9998123123123124,0.8817037420244871,0.984300998377233,0.9722810806347416
1.0,Transformer,0.9082459792778876,0.025473754752588,0.9998031108485922,0.8327297809967235,0.9846735914594624,0.9725175500907394
