Setting,Model,F1,Macro-F1,AUROC,AUPR,relative_improvement_vs_transformer,relative_improvement_vs_concat
KV-KA,Transformer,0.9640943193997856,0.9814397915078557,0.9968966598253644,0.98438087210754,0.0,0.08460913340954401
KV-KA,Concat-Fusion,0.8152007355194606,0.9048787819282248,0.9875688953576576,0.975534988105138,-0.0780088704799759,0.0
KV-KA,CMF-CAN,0.9687916777807416,0.9838654431335369,0.9907451786831104,0.9781093030763408,0.0024715236193495896,0.087289770500528
UV-KA,Transformer,0.160038811123953,0.0800194055619765,0.1151742375223511,0.0488543960236108,0.0,0.0
UV-KA,Concat-Fusion,0.160038811123953,0.0800194055619765,0.93873470836008,0.8291933931589583,0.0,0.0
UV-KA,CMF-CAN,0.160038811123953,0.0800194055619765,0.9683574023354516,0.9324805949532672,0.0,0.0
KV-UA,Transformer,0.0262846628991983,0.4907023762749921,0.6187847176131567,0.2707812715770379,0.0,-0.02946426307636417
KV-UA,Concat-Fusion,0.0554188786740903,0.5055994927403706,0.7924485771694834,0.3281309018456552,0.030358761615269084,0.0
KV-UA,CMF-CAN,0.0846830761382476,0.5205736600201955,0.7792276774065259,0.3044429685189416,0.06087454471274733,0.029616658036312877
UV-UA,Transformer,0.022388966522875,0.0262779622560731,0.6453118473827439,0.1732558303780162,0.0,-0.8025700043556795
UV-UA,Concat-Fusion,0.0238196217596399,0.133100151120978,0.7110974843282889,0.2231220253826226,4.0650864714678265,0.0
UV-UA,CMF-CAN,0.028243239786129,0.3101446461735255,0.6845533646532422,0.1655882870835184,10.802461817671878,1.3301599852552188
