Dataset/Setting,Setting description,Model,F1,Macro-F1,F1 improvement vs Transformer,Macro-F1 improvement vs Transformer,AUROC,AUPR
T01 KV+KA,known vehicle + known attack,Transformer,0.9640943193997856,0.9814397915078557,0.0,0.0,0.9968966598253644,0.98438087210754
T01 KV+KA,known vehicle + known attack,Concat-Fusion,0.8152007355194606,0.9048787819282248,-0.1544388146307318,-0.0780088704799759,0.9875688953576576,0.975534988105138
T01 KV+KA,known vehicle + known attack,CMF-CAN,0.9687916777807416,0.9838654431335369,0.004872301689196135,0.0024715236193495896,0.9907451786831104,0.9781093030763408
T02 UV+KA,unknown vehicle + known attack,Transformer,0.160038811123953,0.0800194055619765,0.0,0.0,0.1151742375223511,0.0488543960236108
T02 UV+KA,unknown vehicle + known attack,Concat-Fusion,0.160038811123953,0.0800194055619765,0.0,0.0,0.93873470836008,0.8291933931589583
T02 UV+KA,unknown vehicle + known attack,CMF-CAN,0.160038811123953,0.0800194055619765,0.0,0.0,0.9683574023354516,0.9324805949532672
T03 KV+UA,known vehicle + unknown attack,Transformer,0.0262846628991983,0.4907023762749921,0.0,0.0,0.6187847176131567,0.2707812715770379
T03 KV+UA,known vehicle + unknown attack,Concat-Fusion,0.0554188786740903,0.5055994927403706,1.108411239155767,0.030358761615269084,0.7924485771694834,0.3281309018456552
T03 KV+UA,known vehicle + unknown attack,CMF-CAN,0.0846830761382476,0.5205736600201955,2.2217676316796324,0.06087454471274733,0.7792276774065259,0.3044429685189416
T04 UV+UA,unknown vehicle + unknown attack,Transformer,0.022388966522875,0.0262779622560731,0.0,0.0,0.6453118473827439,0.1732558303780162
T04 UV+UA,unknown vehicle + unknown attack,Concat-Fusion,0.0238196217596399,0.133100151120978,0.06390001232540975,4.0650864714678265,0.7110974843282889,0.2231220253826226
T04 UV+UA,unknown vehicle + unknown attack,CMF-CAN,0.028243239786129,0.3101446461735255,0.2614802812480262,10.802461817671878,0.6845533646532422,0.1655882870835184
