Dataset,Model,attack_type,false_negatives,false_positives,support
ctt_test01,CMF-CAN,DoS-3,12,0,410
ctt_test01,CMF-CAN,DoS-4,768,0,771
ctt_test01,CMF-CAN,force-neutral-3,1,0,122
ctt_test01,CMF-CAN,force-neutral-4,0,0,49
ctt_test01,CMF-CAN,normal,0,0,55089
ctt_test01,CMF-CAN,rpm-3,0,0,194
ctt_test01,CMF-CAN,rpm-4,5,0,61
ctt_test01,CMF-CAN,standstill-3,1,0,274
ctt_test01,CMF-CAN,standstill-4,52,0,52
ctt_test01,Concat-Fusion,DoS-3,9,0,410
ctt_test01,Concat-Fusion,DoS-4,104,0,771
ctt_test01,Concat-Fusion,force-neutral-3,1,0,122
ctt_test01,Concat-Fusion,force-neutral-4,0,0,49
ctt_test01,Concat-Fusion,normal,0,0,55089
ctt_test01,Concat-Fusion,rpm-3,0,0,194
ctt_test01,Concat-Fusion,rpm-4,46,0,61
ctt_test01,Concat-Fusion,standstill-3,95,0,274
ctt_test01,Concat-Fusion,standstill-4,52,0,52
ctt_test01,Transformer,DoS-3,42,0,410
ctt_test01,Transformer,DoS-4,288,0,771
ctt_test01,Transformer,force-neutral-3,1,0,122
ctt_test01,Transformer,force-neutral-4,0,0,49
ctt_test01,Transformer,normal,0,0,55089
ctt_test01,Transformer,rpm-3,0,0,194
ctt_test01,Transformer,rpm-4,6,0,61
ctt_test01,Transformer,standstill-3,18,0,274
ctt_test01,Transformer,standstill-4,52,0,52
ctt_test02,CMF-CAN,DoS-3,0,0,4834
ctt_test02,CMF-CAN,DoS-4,0,0,183
ctt_test02,CMF-CAN,force-neutral-3,0,0,32
ctt_test02,CMF-CAN,force-neutral-4,0,0,56
ctt_test02,CMF-CAN,normal,0,58867,58867
ctt_test02,CMF-CAN,rpm-3,0,0,126
ctt_test02,CMF-CAN,rpm-4,0,0,26
ctt_test02,CMF-CAN,standstill-3,0,0,272
ctt_test02,CMF-CAN,standstill-4,0,0,79
ctt_test02,Concat-Fusion,DoS-3,0,0,4834
ctt_test02,Concat-Fusion,DoS-4,0,0,183
ctt_test02,Concat-Fusion,force-neutral-3,0,0,32
ctt_test02,Concat-Fusion,force-neutral-4,0,0,56
ctt_test02,Concat-Fusion,normal,0,58867,58867
ctt_test02,Concat-Fusion,rpm-3,0,0,126
ctt_test02,Concat-Fusion,rpm-4,0,0,26
ctt_test02,Concat-Fusion,standstill-3,0,0,272
ctt_test02,Concat-Fusion,standstill-4,0,0,79
ctt_test02,Transformer,DoS-3,0,0,4834
ctt_test02,Transformer,DoS-4,0,0,183
ctt_test02,Transformer,force-neutral-3,0,0,32
ctt_test02,Transformer,force-neutral-4,0,0,56
ctt_test02,Transformer,normal,0,58867,58867
ctt_test02,Transformer,rpm-3,0,0,126
ctt_test02,Transformer,rpm-4,0,0,26
ctt_test02,Transformer,standstill-3,0,0,272
ctt_test02,Transformer,standstill-4,0,0,79
ctt_test03,CMF-CAN,double-3,33,0,101
ctt_test03,CMF-CAN,double-4,40,0,47
ctt_test03,CMF-CAN,fuzzing-3,1360,0,1360
ctt_test03,CMF-CAN,fuzzing-4,38,0,38
ctt_test03,CMF-CAN,interval-3,4291,0,4291
ctt_test03,CMF-CAN,interval-4,126,0,126
ctt_test03,CMF-CAN,normal,0,0,78838
ctt_test03,CMF-CAN,speed-3,94,0,199
ctt_test03,CMF-CAN,speed-4,71,0,85
ctt_test03,CMF-CAN,systematic-3,919,0,919
ctt_test03,CMF-CAN,systematic-4,124,0,124
ctt_test03,CMF-CAN,triple-3,49,0,173
ctt_test03,CMF-CAN,triple-4,32,0,46
ctt_test03,Concat-Fusion,double-3,71,0,101
ctt_test03,Concat-Fusion,double-4,40,0,47
ctt_test03,Concat-Fusion,fuzzing-3,1360,0,1360
ctt_test03,Concat-Fusion,fuzzing-4,38,0,38
ctt_test03,Concat-Fusion,interval-3,4291,0,4291
ctt_test03,Concat-Fusion,interval-4,126,0,126
ctt_test03,Concat-Fusion,normal,0,0,78838
ctt_test03,Concat-Fusion,speed-3,98,0,199
ctt_test03,Concat-Fusion,speed-4,67,0,85
ctt_test03,Concat-Fusion,systematic-3,919,0,919
ctt_test03,Concat-Fusion,systematic-4,124,0,124
ctt_test03,Concat-Fusion,triple-3,121,0,173
ctt_test03,Concat-Fusion,triple-4,40,0,46
ctt_test03,Transformer,double-3,101,0,101
ctt_test03,Transformer,double-4,47,0,47
ctt_test03,Transformer,fuzzing-3,1360,0,1360
ctt_test03,Transformer,fuzzing-4,38,0,38
ctt_test03,Transformer,interval-3,4291,0,4291
ctt_test03,Transformer,interval-4,126,0,126
ctt_test03,Transformer,normal,0,0,78838
ctt_test03,Transformer,speed-3,127,0,199
ctt_test03,Transformer,speed-4,57,0,85
ctt_test03,Transformer,systematic-3,919,0,919
ctt_test03,Transformer,systematic-4,124,0,124
ctt_test03,Transformer,triple-3,173,0,173
ctt_test03,Transformer,triple-4,46,0,46
ctt_test04,CMF-CAN,double-3,0,0,178
ctt_test04,CMF-CAN,double-4,5,0,85
ctt_test04,CMF-CAN,fuzzing-3,0,0,196
ctt_test04,CMF-CAN,fuzzing-4,75,0,203
ctt_test04,CMF-CAN,interval-3,57,0,107
ctt_test04,CMF-CAN,interval-4,15,0,26
ctt_test04,CMF-CAN,normal,0,75567,130695
ctt_test04,CMF-CAN,speed-3,174,0,212
ctt_test04,CMF-CAN,speed-4,24,0,64
ctt_test04,CMF-CAN,systematic-3,19,0,59
ctt_test04,CMF-CAN,systematic-4,32,0,198
ctt_test04,CMF-CAN,triple-3,0,0,63
ctt_test04,CMF-CAN,triple-4,0,0,114
ctt_test04,Concat-Fusion,double-3,0,0,178
ctt_test04,Concat-Fusion,double-4,0,0,85
ctt_test04,Concat-Fusion,fuzzing-3,0,0,196
ctt_test04,Concat-Fusion,fuzzing-4,21,0,203
ctt_test04,Concat-Fusion,interval-3,18,0,107
ctt_test04,Concat-Fusion,interval-4,3,0,26
ctt_test04,Concat-Fusion,normal,0,112656,130695
ctt_test04,Concat-Fusion,speed-3,47,0,212
ctt_test04,Concat-Fusion,speed-4,5,0,64
ctt_test04,Concat-Fusion,systematic-3,3,0,59
ctt_test04,Concat-Fusion,systematic-4,32,0,198
ctt_test04,Concat-Fusion,triple-3,0,0,63
ctt_test04,Concat-Fusion,triple-4,0,0,114
ctt_test04,Transformer,double-3,0,0,178
ctt_test04,Transformer,double-4,0,0,85
ctt_test04,Transformer,fuzzing-3,5,0,196
ctt_test04,Transformer,fuzzing-4,0,0,203
ctt_test04,Transformer,interval-3,1,0,107
ctt_test04,Transformer,interval-4,0,0,26
ctt_test04,Transformer,normal,0,128693,130695
ctt_test04,Transformer,speed-3,0,0,212
ctt_test04,Transformer,speed-4,0,0,64
ctt_test04,Transformer,systematic-3,0,0,59
ctt_test04,Transformer,systematic-4,25,0,198
ctt_test04,Transformer,triple-3,0,0,63
ctt_test04,Transformer,triple-4,0,0,114
road,CMF-CAN,fuzzing,63,0,68
road,CMF-CAN,malfunction,56,0,56
road,CMF-CAN,masquerade,48,0,484
road,CMF-CAN,normal,0,0,53683
road,CMF-CAN,spoof,785,0,2128
road,Concat-Fusion,fuzzing,28,0,68
road,Concat-Fusion,malfunction,56,0,56
road,Concat-Fusion,masquerade,58,0,484
road,Concat-Fusion,normal,0,0,53683
road,Concat-Fusion,spoof,813,0,2128
road,Transformer,fuzzing,0,0,68
road,Transformer,malfunction,56,0,56
road,Transformer,masquerade,36,0,484
road,Transformer,normal,0,2,53683
road,Transformer,spoof,710,0,2128
