Dataset/Setting,Model,f1,macro_f1,f1_std,macro_f1_std
ROAD,Transformer,0.8279109589041096,0.9102389696430576,,
ROAD,Concat-Fusion,0.7885764888200133,0.8898800502463634,,
ROAD,CMF-CAN,0.7893805309734513,0.8902957973466197,,
CT&T test01,Transformer,0.9640943193997856,0.9814397915078557,,
CT&T test01,Concat-Fusion,0.8152007355194606,0.9048787819282248,,
CT&T test01,CMF-CAN,0.9687916777807416,0.9838654431335369,,
HCRL,Transformer,1.0,1.0,,
HCRL,Concat-Fusion,0.9997771339425006,0.999783014934096,,
HCRL,CMF-CAN,0.996667407242835,0.9967457298759168,,
Car-Hacking,Transformer,0.999802986721305,0.999845750757696,,
Car-Hacking,Concat-Fusion,0.9983430645415812,0.998703617832288,,
Car-Hacking,CMF-CAN,0.9982636148382004,0.9986416987040762,,
CrySyS,Transformer,0.9317212883326996,0.9582154688839676,0.0030150472164103,0.0019068199878571
CrySyS,Concat-Fusion,0.930725519466192,0.9575836887379195,1.819101146956925e-05,2.5433679420527223e-05
CrySyS,CMF-CAN,0.9318765710900708,0.9582876238597686,0.0028767680332427,0.0017875487836331
