Dataset/Setting,Model,Metric,Score
ROAD,Transformer,macro_f1,0.9102389696430576
ROAD,Concat-Fusion,macro_f1,0.8898800502463634
ROAD,CMF-CAN,macro_f1,0.8902957973466197
CT&T KV-KA,Transformer,macro_f1,0.9814397915078557
CT&T KV-KA,Concat-Fusion,macro_f1,0.9048787819282248
CT&T KV-KA,CMF-CAN,macro_f1,0.9838654431335369
CT&T UV-KA,Transformer,macro_f1,0.0800194055619765
CT&T UV-KA,Concat-Fusion,macro_f1,0.0800194055619765
CT&T UV-KA,CMF-CAN,macro_f1,0.0800194055619765
CT&T KV-UA,Transformer,macro_f1,0.4907023762749921
CT&T KV-UA,Concat-Fusion,macro_f1,0.5055994927403706
CT&T KV-UA,CMF-CAN,macro_f1,0.5205736600201955
CT&T UV-UA,Transformer,macro_f1,0.0262779622560731
CT&T UV-UA,Concat-Fusion,macro_f1,0.133100151120978
CT&T UV-UA,CMF-CAN,macro_f1,0.3101446461735255
CrySyS-subset,Transformer,macro_f1,0.9582154688839676
CrySyS-subset,Concat-Fusion,macro_f1,0.9575836887379195
CrySyS-subset,CMF-CAN,macro_f1,0.9582876238597686
