Dataset/Setting,Model,precision,recall,f1,macro_f1,auroc,aupr,fpr,fnr
ROAD,Transformer,0.9989669421487604,0.7068713450292398,0.8279109589041096,0.9102389696430576,0.9335419178297376,0.7794058319471616,3.725574204124211e-05,0.2931286549707602
ROAD,Concat-Fusion,1.0,0.6509502923976608,0.7885764888200133,0.8898800502463634,0.8848564756580024,0.7538768220527791,0.0,0.3490497076023391
ROAD,CMF-CAN,1.0,0.652046783625731,0.7893805309734513,0.8902957973466197,0.943067350483829,0.805957074624345,0.0,0.347953216374269
CT&T test01,Transformer,1.0,0.9306777030522504,0.9640943193997856,0.9814397915078557,0.9968966598253644,0.98438087210754,0.0,0.0693222969477496
CT&T test01,Concat-Fusion,1.0,0.6880496637351268,0.8152007355194606,0.9048787819282248,0.9875688953576576,0.975534988105138,0.0,0.3119503362648732
CT&T test01,CMF-CAN,1.0,0.9394723228142784,0.9687916777807416,0.9838654431335369,0.9907451786831104,0.9781093030763408,0.0,0.0605276771857216
HCRL,Transformer,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
HCRL,Concat-Fusion,0.999554367201426,1.0,0.9997771339425006,0.999783014934096,1.0,1.0,0.0004221190375685,0.0
HCRL,CMF-CAN,0.9933569530558016,1.0,0.996667407242835,0.9967457298759168,1.0,1.0,0.0063317855635289,0.0
Car-Hacking,Transformer,1.0,0.9996060510557832,0.999802986721305,0.999845750757696,0.9999998137606454,0.9999996723531732,0.0,0.0003939489442168
Car-Hacking,Concat-Fusion,0.9997629582806574,0.9969271982351088,0.9983430645415812,0.998703617832288,0.9997791622928528,0.99973131930073,0.0001337971635001,0.0030728017648912
Car-Hacking,CMF-CAN,1.0,0.996533249290892,0.9982636148382004,0.9986416987040762,0.9999990512334764,0.99999835147555,0.0,0.003466750709108
CrySyS,Transformer,0.8773273676654653,0.9933636134241736,0.9317212883326996,0.9582154688839676,0.9899867669597155,0.9343438282416562,0.0287855507823523,0.0066363865758263
CrySyS,Concat-Fusion,0.8743777510408742,0.9948523845571536,0.930725519466192,0.9575836887379195,0.98784967421478,0.9183675161228272,0.0296060539546162,0.0051476154428463
CrySyS,CMF-CAN,0.8754576071790675,0.9960888215997982,0.9318765710900708,0.9582876238597686,0.9898886208592504,0.93496296616146,0.0293551994815674,0.0039111784002018
