Dataset/Setting,Model,available_budget,fpr_budget_value,Recall,AUPR,AUROC
ctt_test01,CMF-CAN,1e-4,0.0001,0.9653388515261252,0.9781093030763408,0.9907451786831104
ctt_test01,CMF-CAN,5e-4,0.0005,0.9679255043973098,0.9781093030763408,0.9907451786831104
ctt_test01,CMF-CAN,1e-3,0.001,0.9684428349715468,0.9781093030763408,0.9907451786831104
ctt_test01,Concat-Fusion,1e-4,0.0001,0.9555095706156234,0.975534988105138,0.9875688953576576
ctt_test01,Concat-Fusion,5e-4,0.0005,0.9622348680807036,0.975534988105138,0.9875688953576576
ctt_test01,Concat-Fusion,1e-3,0.001,0.9632695292291774,0.975534988105138,0.9875688953576576
ctt_test01,Transformer,1e-4,0.0001,0.9715468184169684,0.98438087210754,0.9968966598253644
ctt_test01,Transformer,5e-4,0.0005,0.9736161407139162,0.98438087210754,0.9968966598253644
ctt_test01,Transformer,1e-3,0.001,0.9741334712881532,0.98438087210754,0.9968966598253644
ctt_test02,CMF-CAN,1e-4,0.0001,0.7680099857346647,0.9324805949532672,0.9683574023354516
ctt_test02,CMF-CAN,5e-4,0.0005,0.8074179743223966,0.9324805949532672,0.9683574023354516
ctt_test02,CMF-CAN,1e-3,0.001,0.829172610556348,0.9324805949532672,0.9683574023354516
ctt_test02,Concat-Fusion,1e-4,0.0001,0.2694365192582025,0.8291933931589583,0.93873470836008
ctt_test02,Concat-Fusion,5e-4,0.0005,0.4299215406562054,0.8291933931589583,0.93873470836008
ctt_test02,Concat-Fusion,1e-3,0.001,0.5381597717546363,0.8291933931589583,0.93873470836008
ctt_test02,Transformer,1e-4,0.0001,0.0,0.0488543960236108,0.1151742375223511
ctt_test02,Transformer,5e-4,0.0005,0.0005349500713266,0.0488543960236108,0.1151742375223511
ctt_test02,Transformer,1e-3,0.001,0.0005349500713266,0.0488543960236108,0.1151742375223511
ctt_test03,CMF-CAN,1e-4,0.0001,0.0832334531895059,0.3044429685189416,0.7792276774065259
ctt_test03,CMF-CAN,5e-4,0.0005,0.0849647090158476,0.3044429685189416,0.7792276774065259
ctt_test03,CMF-CAN,1e-3,0.001,0.0869623118923958,0.3044429685189416,0.7792276774065259
ctt_test03,Concat-Fusion,1e-4,0.0001,0.0797709415368224,0.3281309018456552,0.7924485771694834
ctt_test03,Concat-Fusion,5e-4,0.0005,0.0846983619656412,0.3281309018456552,0.7924485771694834
ctt_test03,Concat-Fusion,1e-3,0.001,0.0868291383672925,0.3281309018456552,0.7924485771694834
ctt_test03,Transformer,1e-4,0.0001,0.0753762152084165,0.2707812715770379,0.6187847176131567
ctt_test03,Transformer,5e-4,0.0005,0.0904248235450792,0.2707812715770379,0.6187847176131567
ctt_test03,Transformer,1e-3,0.001,0.1001464908776135,0.2707812715770379,0.6187847176131567
ctt_test04,CMF-CAN,1e-4,0.0001,0.0033222591362126,0.1655882870835184,0.6845533646532422
ctt_test04,CMF-CAN,5e-4,0.0005,0.015282392026578,0.1655882870835184,0.6845533646532422
ctt_test04,CMF-CAN,1e-3,0.001,0.1275747508305647,0.1655882870835184,0.6845533646532422
ctt_test04,Concat-Fusion,1e-4,0.0001,0.1023255813953488,0.2231220253826226,0.7110974843282889
ctt_test04,Concat-Fusion,5e-4,0.0005,0.1242524916943521,0.2231220253826226,0.7110974843282889
ctt_test04,Concat-Fusion,1e-3,0.001,0.1654485049833887,0.2231220253826226,0.7110974843282889
ctt_test04,Transformer,1e-4,0.0001,0.0,0.1732558303780162,0.6453118473827439
ctt_test04,Transformer,5e-4,0.0005,0.0584717607973421,0.1732558303780162,0.6453118473827439
ctt_test04,Transformer,1e-3,0.001,0.0584717607973421,0.1732558303780162,0.6453118473827439
