experiment,setting,seed,model,negative_chunk_cap,threshold_type,threshold,auroc,aupr,recall_at_fpr_1e_3,num_test_pos,num_test_neg,precision,recall,f1,actual_fpr,fnr,tp,fp,tn,fn,fpr_budget
chunked_negative_member,ctt_test02,42,GradientBoosting,120000,member_validation_best_f1,0.052634630435393216,0.9981078300156369,0.9362174517912855,0.5877368776916189,164167,6283750,0.9349627363927915,0.9980142172300158,0.9654601434863953,0.001813725880246668,0.0019857827699842233,163841.0,11397.0,6272353.0,326.0,
chunked_negative_member,ctt_test02,2024,GradientBoosting,120000,member_validation_best_f1,0.04263219452475683,0.9981258144338263,0.9362300846846519,0.5870911937234645,164167,6283750,0.9349276181020365,0.9980507653791566,0.9654585201727663,0.0018148398647304556,0.0019492346208434094,163847.0,11404.0,6272346.0,320.0,
chunked_negative_member,ctt_test02,2026,GradientBoosting,120000,member_validation_best_f1,0.05821941505913506,0.9981057554975185,0.9361324664451233,0.5858302825781064,164167,6283750,0.9349574010351577,0.9980142172300158,0.9654572989281274,0.0018138850208872092,0.0019857827699842233,163841.0,11398.0,6272352.0,326.0,
chunked_negative_member,ctt_test02,7,GradientBoosting,120000,member_validation_best_f1,0.06120463306011663,0.9988719032398015,0.9911789031390145,0.997801019693361,164167,6283750,0.9349520657384159,0.9980142172300158,0.9654544543866215,0.00181404416152775,0.0019857827699842233,163841.0,11399.0,6272351.0,326.0,
chunked_negative_member,ctt_test02,99,GradientBoosting,120000,member_validation_best_f1,0.021707231319733594,0.9988604868397891,0.9906302490737269,0.9980507653791566,164167,6283750,0.9349276181020365,0.9980507653791566,0.9654585201727663,0.0018148398647304556,0.0019492346208434094,163847.0,11404.0,6272346.0,320.0,
chunked_negative_ensemble_upper_bound,ctt_test02,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.1037372512906585,0.9988984740054756,0.9921037373705314,0.9978192937679314,164167,6283750,0.985985583896811,0.2691344789147636,0.4228483381025754,9.994032225979709e-05,,,,,,0.0001
chunked_negative_ensemble_upper_bound,ctt_test02,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.09012858188996362,0.9988984740054756,0.9921037373705314,0.9978192937679314,164167,6283750,0.9811859838274932,0.9978192937679314,0.9894327382768024,0.0004998607519395266,,,,,,0.0005
chunked_negative_ensemble_upper_bound,ctt_test02,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.09012858188996362,0.9988984740054756,0.9921037373705314,0.9978192937679314,164167,6283750,0.9630611668979141,0.9978192937679314,0.980132172955702,0.0009998806445195942,,,,,,0.001
chunked_negative_ensemble_upper_bound,ctt_test02,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.0044976228704350875,0.9988984740054756,0.9921037373705314,0.9978192937679314,164167,6283750,0.8391007092924999,0.9980507653791566,0.9116995704333504,0.004999880644519594,,,,,,0.005
chunked_negative_ensemble_upper_bound,ctt_test02,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.0044976228704350875,0.9988984740054756,0.9921037373705314,0.9978192937679314,164167,6283750,0.7227991388893791,0.9980507653791566,0.8384115686028691,0.00999992042967973,,,,,,0.01
chunked_negative_member,ctt_test04,42,GradientBoosting,120000,member_validation_best_f1,0.052634630435393216,0.6094257048150244,0.25465970711336267,0.35495647290087057,14244,13206311,0.7402730876523271,0.35397360292052793,0.47893611968653527,0.00013395110867826752,0.6460263970794721,5042.0,1769.0,13204542.0,9202.0,
chunked_negative_member,ctt_test04,2024,GradientBoosting,120000,member_validation_best_f1,0.04263219452475683,0.6106966038349781,0.2668335647938965,0.35748385285032297,14244,13206311,0.7380779823162777,0.35748385285032297,0.48167242113228964,0.0001368285208488578,0.6425161471496771,5092.0,1807.0,13204504.0,9152.0,
chunked_negative_member,ctt_test04,2026,GradientBoosting,120000,member_validation_best_f1,0.05821941505913506,0.6097838455703902,0.26423336888655463,0.35565852288682953,14244,13206311,0.739454094292804,0.35565852288682953,0.48030338942877454,0.00013516265064483185,0.6443414771131705,5066.0,1785.0,13204526.0,9178.0,
chunked_negative_member,ctt_test04,7,GradientBoosting,120000,member_validation_best_f1,0.06120463306011663,0.6097824381942621,0.2621436441113878,0.35565852288682953,14244,13206311,0.7393461762988909,0.35565852288682953,0.48028062191884724,0.00013523837201774211,0.6443414771131705,5066.0,1786.0,13204525.0,9178.0,
chunked_negative_member,ctt_test04,99,GradientBoosting,120000,member_validation_best_f1,0.021707231319733594,0.610897854171779,0.2550599674308979,0.3578348778433024,14244,13206311,0.7381228273464658,0.35776467284470653,0.4819368261774163,0.00013690424222176806,0.6422353271552934,5096.0,1808.0,13204503.0,9148.0,
chunked_negative_ensemble_upper_bound,ctt_test04,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.09012858188996362,0.6108282689465602,0.25792492119573984,0.35776467284470653,14244,13206311,0.5285714285714286,0.10390339792193204,0.17366815301572402,9.995221224155633e-05,,,,,,0.0001
chunked_negative_ensemble_upper_bound,ctt_test04,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.0044976228704350875,0.6108282689465602,0.25792492119573984,0.35776467284470653,14244,13206311,0.43559278570818016,0.35776467284470653,0.3928612727903481,0.0004999882253265125,,,,,,0.0005
chunked_negative_ensemble_upper_bound,ctt_test04,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.0044976228704350875,0.6108282689465602,0.25792492119573984,0.35776467284470653,14244,13206311,0.2784395148071249,0.35776467284470653,0.3131567627358201,0.000999976450653025,,,,,,0.001
chunked_negative_ensemble_upper_bound,ctt_test04,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.0044976228704350875,0.6108282689465602,0.25792492119573984,0.35776467284470653,14244,13206311,0.07164649148705836,0.35776467284470653,0.11938480280188822,0.0049999579746380345,,,,,,0.005
chunked_negative_ensemble_upper_bound,ctt_test04,42|2024|2026|7|99,GradientBoosting_5chunk_score_average,600000,best_test_upper_bound,0.0044976228704350875,0.6108282689465602,0.25792492119573984,0.35776467284470653,14244,13206311,0.03718203888803832,0.35804549283909015,0.06736808734074382,0.00999999167064898,,,,,,0.01
