event_id,dataset,setting,vehicle,file,attack_type,start_time,end_time,start_index,end_index,num_positive_samples,duration_seconds,gap_threshold,construction_rule
ctt_test01_0,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/DoS-3.csv,DoS-3,293.0,536.0,293,536,148,243.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_1,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/DoS-3.csv,DoS-3,537.0,784.0,537,784,144,247.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_2,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/DoS-3.csv,DoS-3,785.0,1256.0,785,2798,118,471.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_3,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/DoS-4.csv,DoS-4,1257.0,1363.0,2799,2905,1,106.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_4,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/DoS-4.csv,DoS-4,1364.0,3189.0,2906,13934,770,1825.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_5,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3190.0,3516.0,13935,23302,122,326.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_6,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/force-neutral-4.csv,force-neutral-4,3517.0,2801.0,23303,30985,49,0.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_7,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/rpm-3.csv,rpm-3,2802.0,2262.0,30986,38539,194,0.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_8,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/rpm-4.csv,rpm-4,2263.0,3015.0,38540,47534,61,752.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_9,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-3.csv,standstill-3,3016.0,2009.0,47535,52819,274,0.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_10,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2010.0,2012.0,52820,52822,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_11,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2013.0,2015.0,52823,52825,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_12,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2016.0,2018.0,52826,52828,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_13,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2019.0,2021.0,52829,52831,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_14,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2022.0,2025.0,52832,52835,3,3.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_15,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2026.0,2028.0,52836,52838,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_16,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2029.0,2031.0,52839,52841,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_17,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2032.0,2033.0,52842,52843,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_18,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2034.0,2037.0,52844,52847,3,3.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_19,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2038.0,2040.0,52848,52850,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_20,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2041.0,2043.0,52851,52853,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_21,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2044.0,2046.0,52854,52856,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_22,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2047.0,2049.0,52857,52859,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_23,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2050.0,2052.0,52860,52862,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_24,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2053.0,2055.0,52863,52865,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_25,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2056.0,2058.0,52866,52868,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_26,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2059.0,2061.0,52869,52871,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_27,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2062.0,2064.0,52872,52874,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_28,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2065.0,2067.0,52875,52877,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_29,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2068.0,2070.0,52878,52880,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_30,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2071.0,2073.0,52881,52883,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_31,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2074.0,2076.0,52884,52886,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_32,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2077.0,2079.0,52887,52889,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_33,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2080.0,2082.0,52890,52892,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_34,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2083.0,2085.0,52893,52895,2,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test01_35,ctt,ctt_test01,NA,data/raw/can-train-and-test/set_01/test_01_known_vehicle_known_attack/standstill-4.csv,standstill-4,2086.0,6211.0,52896,57021,1,4125.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_0,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/DoS-3.csv,DoS-3,1465.0,2731.0,1465,13740,4834,1266.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_1,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/DoS-4.csv,DoS-4,2732.0,2938.0,13741,20837,183,206.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_2,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2939.0,2941.0,20838,20840,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_3,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2942.0,2943.0,20841,20842,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_4,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2944.0,2946.0,20843,20845,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_5,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2947.0,2949.0,20846,20848,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_6,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2950.0,2951.0,20849,20850,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_7,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2952.0,2954.0,20851,20853,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_8,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2955.0,2957.0,20854,20856,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_9,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2958.0,2959.0,20857,20858,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_10,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2960.0,2962.0,20859,20861,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_11,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2963.0,2965.0,20862,20864,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_12,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2966.0,2967.0,20865,20866,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_13,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2968.0,2970.0,20867,20869,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_14,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2971.0,2973.0,20870,20872,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_15,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2974.0,2975.0,20873,20874,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_16,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2976.0,2978.0,20875,20877,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_17,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2979.0,2980.0,20878,20879,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_18,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2981.0,2983.0,20880,20882,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_19,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2984.0,2986.0,20883,20885,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_20,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2987.0,2988.0,20886,20887,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_21,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2989.0,2991.0,20888,20890,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_22,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2992.0,2994.0,20891,20893,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_23,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2995.0,2996.0,20894,20895,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_24,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,2997.0,2999.0,20896,20898,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_25,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3000.0,3001.0,20899,20900,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_26,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3002.0,3004.0,20901,20903,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_27,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3005.0,3007.0,20904,20906,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_28,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3008.0,3009.0,20907,20908,1,1.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
ctt_test02_29,ctt,ctt_test02,NA,data/raw/can-train-and-test/set_01/test_02_unknown_vehicle_known_attack/force-neutral-3.csv,force-neutral-3,3010.0,3012.0,20909,20911,1,2.0,window-contiguous,label transition 0->1 and contiguous positive aggregate windows
