dataset,model,granularity,window_size,f1,auroc,aupr,mean_attack_ratio,precision,recall,fpr,fnr,seed,label_ratio,epochs,aux_loss_weight,accuracy,macro_f1,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03
ctt_test01,GradientBoosting,sample,1,0.8521190543418946,0.8755417853308363,0.8088365679437188,,,,,,,,,,,,,,,,,,,,,,,,
ctt_test02,GradientBoosting,sample,1,0.9649126180068645,0.998277110503329,0.9459407282859518,,,,,,,,,,,,,,,,,,,,,,,,
ctt_test03,GradientBoosting,sample,1,0.657375165926924,0.7500649073201824,0.5443757866734771,,,,,,,,,,,,,,,,,,,,,,,,
ctt_test04,GradientBoosting,sample,1,0.3883776726495897,0.5925827110506519,0.2422355206604559,,,,,,,,,,,,,,,,,,,,,,,,
ctt_test01,GradientBoosting,window_5,5,0.870952778550886,0.9824948317114256,0.9301390542701627,0.4304029926883183,0.958350347080441,0.7981635776228533,0.0009179868727877,0.2018364223771467,,,,,,,,,,,,,,,,,,,
ctt_test02,GradientBoosting,window_5,5,0.913447782546495,0.9974637582367644,0.980603131662038,0.3587173604282749,0.9857135626249588,0.851054299136895,0.0009423646759317,0.148945700863105,,,,,,,,,,,,,,,,,,,
ctt_test03,GradientBoosting,window_5,5,0.6733753210654094,0.837446675461304,0.6563350199972754,0.2278571037802943,0.9435022677972786,0.5234969090212812,0.0003353285283232,0.4765030909787187,,,,,,,,,,,,,,,,,,,
ctt_test04,GradientBoosting,window_5,5,0.5168307289874028,0.7874765482740954,0.5140487763254977,0.2784478545596716,0.8738361266294227,0.3669240543446388,0.00020578053468,0.6330759456553612,,,,,,,,,,,,,,,,,,,
ctt_test01,GradientBoosting,window_10,10,0.9655213803450864,0.9765395529309028,0.9329653782849036,0.3749703721260962,0.9780533771049912,0.9533064707276606,0.0006523451899932,0.0466935292723394,,,,,,,,,,,,,,,,,,,
ctt_test02,GradientBoosting,window_10,10,0.9948197775957848,0.9967256013347936,0.9901441834923794,0.3236093041592746,0.9959302210719718,0.99371180760891,0.0003467674873497,0.00628819239109,,,,,,,,,,,,,,,,,,,
ctt_test03,GradientBoosting,window_10,10,0.676481092020158,0.8478090651608308,0.6777720549468647,0.1273310914093549,0.963599366945512,0.5211861815958423,0.000380090348184,0.4788138184041577,,,,,,,,,,,,,,,,,,,
