dataset,model,seed,granularity,threshold,train_protocol,test_protocol,precision,recall,f1,auroc,aupr,fpr,fnr
ctt_test01,GradientBoosting,42,sample,0.04907887115942295,all positives + capped negative sampling,full official test folder,0.8425119827839186,0.40832806573957015,0.5500643966407306,0.4186910518013276,0.40272639975787783,0.000856475611723963,0.5916719342604299
ctt_test01,RandomForest,42,sample,0.05714285714285714,all positives + capped negative sampling,full official test folder,0.9601947656725502,0.37395701643489254,0.5382769405743532,0.7117089660496765,0.4243284809122579,0.00017395498449300368,0.6260429835651075
ctt_test01,MLP,42,sample,0.05430891364812851,all positives + capped negative sampling,full official test folder,0.2956405740040408,0.3607300884955752,0.3249580047262478,0.6920333968099216,0.35479609048062544,0.009643773528697252,0.6392699115044248
ctt_test01,LogisticRegression,42,sample,0.4250350892543793,all positives + capped negative sampling,full official test folder,0.8597674418604652,0.35053729456384325,0.49802424786708577,0.6040325128389797,0.35625362982564845,0.0006415587501485089,0.6494627054361568
ctt_test01,GaussianNB,42,sample,1.5227641370074707e-10,all positives + capped negative sampling,full official test folder,0.9774324036619119,0.3627528445006321,0.5291304097274246,0.6566695313151285,0.36192793146093255,9.398179590345765e-05,0.6372471554993678
ctt_test01,IsolationForest,42,sample,-0.11383353431159182,all positives + capped negative sampling,full official test folder,0.012364471806753102,0.9877370417193426,0.024423214323044524,0.45271706552411123,0.009975923747588652,0.8853129505141514,0.012262958280657396
ctt_test01,BIRCH,42,sample,1.2259972095489502,all positives + capped negative sampling,full official test folder,0.021457792151690216,0.9419563843236409,0.041959740274367587,0.701172470245911,0.017205925983006038,0.4820140121537968,0.05804361567635904
ctt_test02,GradientBoosting,42,sample,0.04907887115942295,all positives + capped negative sampling,full official test folder,0.9362671146769069,0.9980263999463961,0.9661608135321366,0.9980969031499822,0.9350078660430468,0.001774895563954645,0.0019736000536039523
ctt_test02,RandomForest,42,sample,0.05714285714285714,all positives + capped negative sampling,full official test folder,0.2563753965311251,0.03790652201721418,0.06604754829123329,0.9803320911357968,0.467157272852717,0.002872488561766461,0.9620934779827858
ctt_test02,MLP,42,sample,0.05430891364812851,all positives + capped negative sampling,full official test folder,0.025584040740156015,0.03849738376165734,0.030739598634227962,0.936119774065648,0.17515827070358697,0.03830658444400239,0.9615026162383427
ctt_test02,LogisticRegression,42,sample,0.4250350892543793,all positives + capped negative sampling,full official test folder,0.21620489915555866,0.037742055346080515,0.06426552573577078,0.7220692102482857,0.06922985512973744,0.003574617067833698,0.9622579446539195
ctt_test02,GaussianNB,42,sample,1.5227641370074707e-10,all positives + capped negative sampling,full official test folder,0.28141176470588236,0.03642632197701121,0.0645032548256093,0.5054301994215551,0.059042929888151484,0.002430077581062264,0.9635736780229888
ctt_test02,IsolationForest,42,sample,-0.11383353431159182,all positives + capped negative sampling,full official test folder,0.027006521975922758,0.9998050765379156,0.05259242846543762,0.37430334302328633,0.021684432564401855,0.9410735627610901,0.00019492346208434096
ctt_test02,BIRCH,42,sample,1.2259972095489502,all positives + capped negative sampling,full official test folder,0.02832670692534036,0.9991776666443317,0.055091566824285135,0.3774198652175461,0.019841702537755877,0.8954345733041575,0.0008223333556683133
ctt_test03,GradientBoosting,42,sample,0.04907887115942295,all positives + capped negative sampling,full official test folder,0.8084413334257399,0.5601440576230492,0.6617688772905203,0.7283831430615649,0.5208897577478726,0.0003208562357434311,0.4398559423769508
ctt_test03,RandomForest,42,sample,0.05714285714285714,all positives + capped negative sampling,full official test folder,0.8678492239467849,0.46986794717887154,0.6096573208722742,0.7893594826142125,0.5472636513168352,0.0001729651922061188,0.5301320528211284
ctt_test03,MLP,42,sample,0.05430891364812851,all positives + capped negative sampling,full official test folder,0.0791478812477974,0.3127490996398559,0.12632620206761447,0.7104457546383598,0.16818045900415374,0.008796382821886481,0.687250900360144
ctt_test03,LogisticRegression,42,sample,0.4250350892543793,all positives + capped negative sampling,full official test folder,0.6638742730545555,0.4604561824729892,0.543763645127449,0.6907960583635622,0.430185947097477,0.0005635879249400716,0.5395438175270107
ctt_test03,GaussianNB,42,sample,1.5227641370074707e-10,all positives + capped negative sampling,full official test folder,0.9004366812227074,0.396062424969988,0.5501417375354344,0.7027197325173298,0.3778508844605921,0.00010586862771273847,0.603937575030012
ctt_test03,IsolationForest,42,sample,-0.11383353431159182,all positives + capped negative sampling,full official test folder,0.0027186723114093246,1.0,0.0054226023439703135,0.6245242394690175,0.10704697313591299,0.8867848788953444,0.0
ctt_test03,BIRCH,42,sample,1.2259972095489502,all positives + capped negative sampling,full official test folder,0.0045713736522385055,0.9181752701080432,0.009097453274507481,0.8896968482526189,0.3200907690049571,0.48333300442860544,0.08182472989195679
ctt_test04,GradientBoosting,42,sample,0.04907887115942295,all positives + capped negative sampling,full official test folder,0.6336088154269972,0.2260600954787981,0.3332298458035806,0.48117097647205437,0.14197882114306132,0.00014099319635892265,0.7739399045212019
ctt_test04,RandomForest,42,sample,0.05714285714285714,all positives + capped negative sampling,full official test folder,0.22900920355802354,0.3126930637461387,0.2643872614489656,0.6878662469146622,0.09036026655918501,0.0011354419867894978,0.6873069362538613
ctt_test04,MLP,42,sample,0.05430891364812851,all positives + capped negative sampling,full official test folder,0.0032632362112541987,0.08375456332490873,0.006281724551907159,0.4353845453358681,0.001492822925057514,0.027592489681637817,0.9162454366750913
ctt_test04,LogisticRegression,42,sample,0.4250350892543793,all positives + capped negative sampling,full official test folder,0.013339613181604097,0.06163998876720023,0.021932727976718337,0.3367693039666594,0.01914343788053455,0.00491742167816584,0.9383600112327998
ctt_test04,GaussianNB,42,sample,1.5227641370074707e-10,all positives + capped negative sampling,full official test folder,0.010539698918391037,0.04015725919685482,0.01669707363351091,0.5208076567774168,0.0016796613864500229,0.004066162003908586,0.9598427408031451
ctt_test04,IsolationForest,42,sample,-0.11383353431159182,all positives + capped negative sampling,full official test folder,0.0011006196724603024,0.9828699803426004,0.0021987771500879784,0.7680212439096655,0.1382478183306528,0.9621238663847913,0.017130019657399607
ctt_test04,BIRCH,42,sample,1.2259972095489502,all positives + capped negative sampling,full official test folder,0.001255488910641978,0.9435551811288964,0.0025076411688630448,0.7959119169472938,0.3227378744217656,0.8095790717029153,0.05644481887110362
ctt_test01,GradientBoosting,2024,sample,0.08532433018125712,all positives + capped negative sampling,full official test folder,0.8888187892518138,0.979582806573957,0.9319962111530423,0.9892624839766844,0.9064886902578513,0.0013749714064819067,0.020417193426042982
ctt_test01,RandomForest,2024,sample,0.013905626092290598,all positives + capped negative sampling,full official test folder,0.9519547210607482,0.9462231352718078,0.949080274847637,0.9729987743656741,0.9367011843054367,0.0005358735607929226,0.05377686472819216
ctt_test01,MLP,2024,sample,0.019224150106310844,all positives + capped negative sampling,full official test folder,0.1984205923207518,0.3656921618204804,0.2572565673184885,0.6574758888624318,0.35345353797891393,0.01657714752836743,0.6343078381795196
