method,kind,accuracy,weighted_f1,normal_f1,attack_f1,aupr,recall_at_fpr_1e_3,rank_by_accuracy,rank_by_weighted_f1,rank_by_normal_f1,rank_by_attack_f1,rank_by_aupr,rank_by_recall_at_fpr_1e_3,rank_gap_weighted_vs_attack,rank_inversion_magnitude
RandomForest / SAFE_CAN,model,0.9884914816359828,0.9932007181016136,0.9942104098162566,0.05706600891191609,0.0458748506937329,,23.0,23.0,23.0,14.0,17.0,1.0,-9.0,9.0
ExtraTrees / SAFE_CAN,model,0.9914642010112285,0.9946572715715805,0.9957135209227569,0.015356694122574505,0.0332663341223521,,17.0,17.0,17.0,23.0,22.0,1.0,6.0,6.0
IsolationForest / SAFE_CAN,model,0.01611467899796945,0.029630873714341373,0.029660475794607313,0.002185333259486539,0.1645497872201949,,50.0,50.0,50.0,43.0,12.0,1.0,-7.0,7.0
BIRCH / SAFE_CAN,model,0.18857687895856112,0.3158143612271064,0.31615231033242985,0.0024851708961809303,0.3197762726081165,,47.0,47.0,47.0,40.0,7.0,1.0,-7.0,7.0
LinearSVM / SAFE_CAN,model,0.9970641928421311,0.9974826401442232,0.9985298796014839,0.02653557723658847,0.0076714778793781,,13.0,13.0,13.0,16.0,35.0,1.0,3.0,3.0
MLP / P1_public_default,model,0.8646745919516995,0.9264203118328834,0.9274176577813988,0.0017319679206508718,0.0070505235204283,,44.0,44.0,44.0,51.0,37.0,1.0,7.0,7.0
GradientBoosting / P1_public_default,model,0.9768663267162384,0.9872394695544673,0.9882968566743772,0.006884010910507873,0.0203805344092604,,28.0,28.0,28.0,28.0,29.0,1.0,0.0,0.0
HistGradientBoosting / P1_public_default,model,0.9908395676278342,0.9943459487972571,0.9953983064326818,0.018653571891611737,0.0030840756177576,,19.0,19.0,19.0,20.0,45.0,1.0,1.0,1.0
MLP / SAFE_CAN,model,0.9795321754646458,0.988601882871604,0.9896593954761136,0.008130081300813009,0.0018608150549244,,27.0,27.0,27.0,27.0,48.0,1.0,0.0,0.0
GradientBoosting / SAFE_CAN,model,0.9991711391843988,0.9990267279617462,0.99958523826733,0.48120443139855523,0.2636050023882967,,2.0,2.0,2.0,7.0,11.0,1.0,5.0,5.0
HistGradientBoosting / SAFE_CAN,model,0.9989703911825186,0.9987409126068577,0.9994848117492595,0.30903553299493847,0.1361093258730779,,6.0,6.0,6.0,11.0,15.0,1.0,5.0,5.0
MLP / P1_public_default,model,0.866665506856558,0.927563528007734,0.9285621596455933,0.001683158447960275,0.0053827669483255,,43.0,43.0,43.0,52.0,40.0,1.0,9.0,9.0
GradientBoosting / P1_public_default,model,0.9629626744111726,0.9800779693554108,0.9811303725877981,0.004343317269566277,0.0272541844389865,,31.0,31.0,31.0,35.0,24.0,1.0,4.0,4.0
HistGradientBoosting / P1_public_default,model,0.9911695083905329,0.9945129674827684,0.9955647858340604,0.019320587345855476,0.0118937084381227,,18.0,18.0,18.0,19.0,33.0,1.0,1.0,1.0
MLP / SAFE_CAN,model,0.9648800674404365,0.9810707534755481,0.982125009706404,0.0036180956284563477,0.001586420274712,,30.0,30.0,30.0,38.0,51.0,1.0,8.0,8.0
GradientBoosting / SAFE_CAN,model,0.9991703071467122,0.9990246102478415,0.9995848225916162,0.47962427060109636,0.2646623611826009,,3.0,3.0,3.0,8.0,10.0,1.0,5.0,5.0
HistGradientBoosting / SAFE_CAN,model,0.9992834642721127,0.999195941327017,0.9996414217021972,0.5861692368179643,0.3671244738486416,,1.0,1.0,1.0,5.0,6.0,1.0,4.0,4.0
MLP / P1_public_default,model,0.8970047777873168,0.944683444259775,0.9457000326520638,0.002154486975613259,0.0087457343721437,,41.0,41.0,41.0,45.0,34.0,1.0,4.0,4.0
GradientBoosting / P1_public_default,model,0.9587008260999633,0.9778628002683482,0.9789132644548942,0.0039259326826598575,0.0163541963234588,,33.0,33.0,33.0,37.0,31.0,1.0,4.0,4.0
HistGradientBoosting / P1_public_default,model,0.9908394163482547,0.9943458722096205,0.9953982300884956,0.018653269589174303,0.003757293225105,,20.0,20.0,20.0,21.0,44.0,1.0,1.0,1.0
LogisticRegression / P1_public_default,model,0.9828192538059106,0.9902712541812261,0.9913348815964762,0.004130111670853789,0.0045067737933682,,25.0,25.0,25.0,36.0,42.0,1.0,11.0,11.0
GaussianNB / P1_public_default,model,0.8906090553687044,0.9411198185269551,0.9421325414239716,0.0021747514939342246,0.0010783408144854,,42.0,42.0,42.0,44.0,52.0,1.0,2.0,2.0
RandomForest / P1_public_default,model,0.0010774131645759199,2.319139582885906e-06,0.0,0.002152507189568954,0.006188304608517,,51.0,51.0,51.0,46.0,39.0,1.0,-5.0,5.0
ExtraTrees / P1_public_default,model,0.960757320702497,0.978933099866356,0.979984175921042,0.004428939318925848,0.0017245298944656,,32.0,32.0,32.0,34.0,49.0,1.0,2.0,2.0
IsolationForest / P1_public_default,model,0.10450181554405243,0.1875378037558561,0.1877376405964082,0.0022592678397925603,0.0063289731036254,,49.0,49.0,49.0,42.0,38.0,1.0,-7.0,7.0
BIRCH / P1_public_default,model,0.1630533665190304,0.27890896195744364,0.27920733580157403,0.002271937255722336,0.0481086433439788,,48.0,48.0,48.0,41.0,16.0,1.0,-7.0,7.0
LinearSVM / P1_public_default,model,0.9409359138099724,0.9685251182276782,0.9695663554473206,0.003143024196945829,0.0120925032666494,,36.0,36.0,36.0,39.0,32.0,1.0,3.0,3.0
MLP / P3_no_subdivision,model,0.5974164473427932,0.7470511281387114,0.7478547860414139,0.0019404709711318376,0.0349551758127388,,46.0,46.0,46.0,49.0,21.0,1.0,3.0,3.0
GradientBoosting / P3_no_subdivision,model,0.9055142541292707,0.9493834559044979,0.950401917291397,0.005117953455773428,0.0299387621367967,,40.0,40.0,40.0,31.0,23.0,1.0,-9.0,9.0
HistGradientBoosting / P3_no_subdivision,model,0.6133621470505588,0.759245225375524,0.7600586404020655,0.005088260156423808,0.0045184913913015,,45.0,45.0,45.0,32.0,41.0,1.0,-13.0,13.0
LogisticRegression / P3_no_subdivision,model,0.9987722905732778,0.9983541549249725,0.9993857517335739,0.04191015878637793,0.025788962923667,,10.0,10.0,10.0,15.0,25.0,1.0,5.0,5.0
GaussianNB / P3_no_subdivision,model,0.9560813445426459,0.9764953604503529,0.9775467964076824,0.001657516510687026,0.023525909529347,,34.0,34.0,34.0,53.0,27.0,1.0,19.0,19.0
MLP / P5_arbitration_payload_only,model,0.9315962151362028,0.963546755107906,0.9645806770551378,0.004947008908137042,0.0229166512950831,,38.0,38.0,38.0,33.0,28.0,1.0,-5.0,5.0
GradientBoosting / P5_arbitration_payload_only,model,0.9237280885711683,0.9593141684550406,0.9603420732501816,0.006293219071232823,0.0440561052569958,,39.0,39.0,39.0,30.0,18.0,1.0,-9.0,9.0
HistGradientBoosting / P5_arbitration_payload_only,model,0.9959845104838639,0.9969403551677677,0.9979881101162092,0.02551535510398916,0.0044315882073517,,14.0,14.0,14.0,17.0,43.0,1.0,3.0,3.0
LogisticRegression / P5_arbitration_payload_only,model,0.9466126800274269,0.9715269450202986,0.9725729396752337,0.0017339994003134215,0.0405601252319264,,35.0,35.0,35.0,50.0,19.0,1.0,15.0,15.0
GaussianNB / P5_arbitration_payload_only,model,0.9325082797204807,0.9640356829350895,0.9650745766005089,0.0008264129646053378,0.0254229630007983,,37.0,37.0,37.0,56.0,26.0,1.0,19.0,19.0
MLP / P7_public_plus_delta,model,0.9893355460493148,0.9935792708305456,0.9946388630298139,0.011179374964933009,0.0075318355880493,,21.0,21.0,21.0,24.0,36.0,1.0,3.0,3.0
GradientBoosting / P7_public_plus_delta,model,0.9989296213358667,0.9985987050794572,0.9994644542127652,0.19592022273993573,0.1404539396977143,,7.0,7.0,7.0,12.0,13.0,1.0,5.0,5.0
HistGradientBoosting / P7_public_plus_delta,model,0.9990050342062039,0.9987704978504611,0.9995021526579955,0.32041744162018093,0.3112026536133439,,4.0,4.0,4.0,10.0,8.0,1.0,6.0,6.0
LogisticRegression / P7_public_plus_delta,model,0.9801834340540166,0.9889347859808915,0.9899916437219841,0.00907014040183975,0.0355084895425939,,26.0,26.0,26.0,26.0,20.0,1.0,0.0,0.0
GaussianNB / P7_public_plus_delta,model,0.9857443201136412,0.9917616836268619,0.9928204624970991,0.010115864995745703,0.0020119358118572,,24.0,24.0,24.0,25.0,47.0,1.0,1.0,1.0
MLP / SAFE_CAN,model,0.973787484716035,0.9856623937146851,0.9867185409465792,0.006456496060734656,0.0024136682378079,,29.0,29.0,29.0,29.0,46.0,1.0,0.0,0.0
GradientBoosting / SAFE_CAN,model,0.9989246291097463,0.9985959103737764,0.9994619548896652,0.1956435643564472,0.1378627166231748,,8.0,8.0,8.0,13.0,14.0,1.0,5.0,5.0
HistGradientBoosting / SAFE_CAN,model,0.9990041265287274,0.9987702078189497,0.999501698071875,0.32056971823718217,0.3055203625797739,,5.0,5.0,5.0,9.0,9.0,1.0,4.0,4.0
LogisticRegression / SAFE_CAN,model,0.9944295833268726,0.9961573208948933,0.9972068280772416,0.02310773883745024,0.0178581437445665,,16.0,16.0,16.0,18.0,30.0,1.0,2.0,2.0
GaussianNB / SAFE_CAN,model,0.9949165522930015,0.9963950542822144,0.9974516887879767,0.016737381126554787,0.0016760544783783,,15.0,15.0,15.0,22.0,50.0,1.0,7.0,7.0
GradientBoosting / GRAIN_window_5,model,,,,0.5168307289874028,0.5140487763254977,,53.0,53.0,53.0,6.0,5.0,1.0,-47.0,47.0
GradientBoosting / GRAIN_window_10,model,,,,0.6001249888402821,0.6184722776882597,,53.0,53.0,53.0,4.0,4.0,1.0,-49.0,49.0
GradientBoosting / GRAIN_window_20,model,,,,0.641630351192002,0.7227739499342077,,53.0,53.0,53.0,2.0,3.0,1.0,-51.0,51.0
GradientBoosting / GRAIN_window_50,model,,,,0.6274193548387097,0.8235315589679248,,53.0,53.0,53.0,3.0,1.0,1.0,-50.0,50.0
GradientBoosting / GRAIN_window_100,model,,,,0.6678067550235144,0.784533638387578,,53.0,53.0,53.0,1.0,2.0,1.0,-52.0,52.0
predict_all_normal,trivial,0.9989225868354241,0.9983841706143375,0.9994610030565108,0.0,0.001077,,9.0,9.0,9.0,57.0,53.0,1.0,48.0,48.0
predict_all_attack,trivial,0.0010774131645759199,2.319139582885906e-06,0.0,0.002152507189568954,0.001077,,51.0,51.0,51.0,46.0,53.0,1.0,-5.0,5.0
random_base_rate,trivial,0.9978479075833805,0.9978477014461561,0.9989227934176692,0.001077206542670451,0.001077,,12.0,12.0,12.0,54.0,53.0,1.0,42.0,42.0
random_1_percent_attack,trivial,0.9889441350987156,0.9933719511319754,0.9944412794271318,0.0019452432595388647,0.001077,,22.0,22.0,22.0,48.0,53.0,1.0,26.0,26.0
random_0.1_percent_attack,trivial,0.9979247416617533,0.9978861154332577,0.9989612919179547,0.001037264211999794,0.001077,,11.0,11.0,11.0,55.0,53.0,1.0,44.0,44.0
