model,local_model,feature_protocol,source,reported_accuracy,reported_precision,reported_recall,reported_f1,diff_f1_attack,diff_f1_normal,diff_f1_macro,diff_f1_weighted,diff_f1_accuracy,diff_recall_attack,diff_recall_normal,diff_recall_weighted,diff_recall_accuracy,diff_precision_attack,diff_precision_normal,diff_precision_weighted,best_matching_f1_metric,best_matching_recall_metric,best_matching_precision_metric,overall_metric_hypothesis,best_f1_diff
GaussianNB,GaussianNB,P1_public_default,test04_public_reproduction,0.8906,0.9979,0.8906,0.9411,0.9389252485060658,0.001032541423971578,0.46894635354104713,1.981852695509545e-05,0.050490944631295664,0.7799569222128615,0.0008503073568388864,9.055368704435907e-06,9.055368704435907e-06,0.9968018316973459,0.0010251141960103682,4.99576914637645e-05,weighted,weighted,weighted,weighted/accuracy-like,1.981852695509545e-05
GaussianNB,GaussianNB,P3_no_subdivision,test04_public_reproduction,0.8906,0.9979,0.8906,0.9411,0.939442483489313,0.036446796407682336,0.45149784354081535,0.03539536045035285,0.01498134454264588,0.8567611906767761,0.06647605250247401,0.06548134454264598,0.06548134454264598,0.9970504347412263,0.0010123705091026336,6.295549634749431e-05,accuracy,weighted,weighted,weighted/accuracy-like,0.01498134454264588
GaussianNB,GaussianNB,P5_arbitration_payload_only,test04_public_reproduction,0.8906,0.9979,0.8906,0.9411,0.9402735870353948,0.023974576600508835,0.45814950521744296,0.022935682935089408,0.008591720279519377,0.8646943555181128,0.04288611887150018,0.04190827972048072,0.04190827972048072,0.9974800958610425,0.0009757702189383544,9.997927542426677e-05,accuracy,weighted,weighted,weighted/accuracy-like,0.008591720279519377
GaussianNB,GaussianNB,P7_public_plus_delta,test04_public_reproduction,0.8906,0.9979,0.8906,0.9411,0.9309841350042544,0.05172046249709905,0.4396318362535776,0.05066168362686185,0.04464432011364117,0.8229925863521482,0.09613459984396855,0.09514432011364127,0.09514432011364127,0.9924330684076071,0.0010818623386807946,1.1436273091969262e-05,accuracy,weighted,weighted,weighted/accuracy-like,0.04464432011364117
GaussianNB,GaussianNB,SAFE_CAN,test04_public_reproduction,0.8906,0.9979,0.8906,0.9411,0.9243626188734453,0.056351688787976695,0.4340054650427343,0.05529505428221437,0.05381655229300142,0.8504427408031452,0.10534633202262178,0.10431655229300152,0.10431655229300152,0.9873281595386831,0.0010616030867548476,3.3010552298318174e-06,accuracy,weighted,weighted,weighted/accuracy-like,0.05381655229300142
KNN,,,,,,,,,,,,,,,,,,,,,,,unknown_no_local_row,
LogisticRegression,LogisticRegression,P1_public_default,test04_public_reproduction,0.9976,0.9979,0.9976,0.9977,0.9935698883291463,0.006365118403523828,0.49996750336633505,0.007428745818773952,0.014880746194089411,0.9645334456613311,0.01375636645237266,0.014780746194089422,0.014780746194089422,0.9956973877299065,0.0010410856758791276,3.2813477007564984e-05,normal,normal,weighted,weighted/accuracy-like,0.006365118403523828
LogisticRegression,LogisticRegression,P3_no_subdivision,test04_public_reproduction,0.9976,0.9979,0.9976,0.9977,0.9557898412136221,0.0016857517335738814,0.47705204474002416,0.0006541549249724499,0.0010722905732777344,0.9726772254984556,0.0022226605446441505,0.0011722905732777233,0.0011722905732777233,0.8662722654801296,0.0010492246020497031,0.00011476101071550282,weighted,weighted,weighted,weighted/accuracy-like,0.0006541549249724499
LogisticRegression,LogisticRegression,P5_arbitration_payload_only,test04_public_reproduction,0.9976,0.9979,0.9976,0.9977,0.9959660005996867,0.025127060324766304,0.5105465304622265,0.02617305497970146,0.0510873199725731,0.9545643358607133,0.05001274417965773,0.05098731997257311,0.05098731997257311,0.9970151745401217,0.0010119366322622891,6.335091591846975e-05,normal,normal,weighted,weighted/accuracy-like,0.025127060324766304
LogisticRegression,LogisticRegression,P7_public_plus_delta,test04_public_reproduction,0.9976,0.9979,0.9976,0.9977,0.9886298595981603,0.007708356278015915,0.4981691079380881,0.00876521401910857,0.017516565945983387,0.913424206683516,0.016450154293655594,0.017416565945983398,0.017416565945983398,0.9931066842568161,0.0010942496057373408,2.308443136023186e-05,normal,normal,weighted,weighted/accuracy-like,0.007708356278015915
