setting,model,tp,fp,tn,fn,num_pos,num_neg,source
ctt_test01,GradientBoosting / sample,1106.0,180.0,162239.0,22.0,1128,162419,final_grain_can_a1_negative_stability
ctt_test01,GradientBoosting / sample,,,,,1128,162419,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_10,1075.0,24.0,162395.0,53.0,1128,162419,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_100,1006.0,1.0,162418.0,122.0,1128,162419,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_20,1065.0,6.0,162413.0,63.0,1128,162419,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_5,900.0,39.0,162380.0,228.0,1128,162419,final_grain_can_b1_granularity_full_matrix
ctt_test01,GradientBoosting / window_50,1027.0,1.0,162418.0,101.0,1128,162419,final_grain_can_b1_granularity_full_matrix
ctt_test01,MLP / sample,412.0,1556.0,160863.0,716.0,1128,162419,final_grain_can_a1_negative_stability
ctt_test01,Transformer,1050.0,0.0,162419.0,78.0,1128,162419,cmf_tables_overall_main_results_refined
ctt_test01,transformer / old_window100_deep,1050.0,0.0,162419.0,78.0,1128,162419,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / sample,,,,,2137,168863,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / sample,2133.0,157.0,168706.0,4.0,2137,168863,final_grain_can_a1_negative_stability
ctt_test02,GradientBoosting / window_10,2124.0,9.0,168854.0,13.0,2137,168863,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / window_100,1989.0,33.0,168830.0,148.0,2137,168863,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / window_20,2116.0,9.0,168854.0,21.0,2137,168863,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / window_5,1819.0,26.0,168837.0,318.0,2137,168863,final_grain_can_b1_granularity_full_matrix
ctt_test02,GradientBoosting / window_50,2071.0,4.0,168859.0,66.0,2137,168863,final_grain_can_b1_granularity_full_matrix
ctt_test02,MLP / sample,1994.0,5058.0,163805.0,143.0,2137,168863,final_grain_can_a1_negative_stability
ctt_test02,transformer / old_window100_deep,2137.0,22432.0,146431.0,0.0,2137,168863,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / sample,443.0,173.0,191995.0,261.0,704,192168,final_grain_can_a1_negative_stability
ctt_test03,GradientBoosting / sample,,,,,704,192168,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_10,367.0,14.0,192154.0,337.0,704,192168,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_100,466.0,0.0,192168.0,238.0,704,192168,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_20,354.0,2.0,192166.0,350.0,704,192168,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_5,369.0,22.0,192146.0,335.0,704,192168,final_grain_can_b1_granularity_full_matrix
ctt_test03,GradientBoosting / window_50,414.0,0.0,192168.0,290.0,704,192168,final_grain_can_b1_granularity_full_matrix
ctt_test03,MLP / sample,404.0,4257.0,187911.0,300.0,704,192168,final_grain_can_a1_negative_stability
ctt_test03,transformer / old_window100_deep,9.0,0.0,192168.0,695.0,704,192168,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / sample,285.0,118.0,237969.0,353.0,638,238087,final_grain_can_a1_negative_stability
ctt_test04,GradientBoosting / sample,,,,,638,238087,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_10,289.0,36.0,238051.0,349.0,638,238087,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_100,331.0,22.0,238065.0,307.0,638,238087,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_20,310.0,19.0,238068.0,328.0,638,238087,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_5,234.0,34.0,238053.0,404.0,638,238087,final_grain_can_b1_granularity_full_matrix
ctt_test04,GradientBoosting / window_50,293.0,3.0,238084.0,345.0,638,238087,final_grain_can_b1_granularity_full_matrix
ctt_test04,MLP / sample,49.0,21293.0,216794.0,589.0,638,238087,final_grain_can_a1_negative_stability
ctt_test04,transformer / old_window100_deep,625.0,54568.0,183519.0,13.0,638,238087,final_grain_can_b1_granularity_full_matrix
