setting,model,granularity,source,num_pos,num_neg,positive_rate,precision,recall,f1,accuracy,aupr,auroc,detection_rate_at_fpr_1e_4,detection_rate_at_fpr_1e_3,fnr,fpr,tp,fp,tn,fn
ctt_test01,GradientBoosting / sample,sample,final_grain_can_a1_negative_stability,1128,162419,0.0068988940321512,0.8600311041990669,0.9804964539007093,0.9163214581607291,0.9987648810433698,0.9117100963025988,0.9897481766305908,,,0.01950354609929078,0.0011082447250629545,1106.0,180.0,162239.0,22.0
ctt_test01,GradientBoosting / sample,sample,final_grain_can_b1_granularity_full_matrix,1128,162419,0.0068988940321512,,,,,0.8088365679437188,0.8755417853308363,,,,,,,,
ctt_test01,GradientBoosting / window_10,window_10,final_grain_can_b1_granularity_full_matrix,1128,162419,0.0068988940321512,0.978161965423112,0.9530141843971631,0.9654243376740009,0.9995291873284132,0.9329653782849036,0.9765395529309028,,,0.04698581560283688,0.00014776596334172725,1075.0,24.0,162395.0,53.0
ctt_test01,GradientBoosting / window_100,window_100,final_grain_can_b1_granularity_full_matrix,1128,162419,0.0068988940321512,0.9990069513406157,0.8918439716312057,0.9423887587822013,0.9992479226155172,0.8959658008443454,0.9461581600772684,,,0.10815602836879433,6.156915139238636e-06,1006.0,1.0,162418.0,122.0
ctt_test01,GradientBoosting / window_20,window_20,final_grain_can_b1_granularity_full_matrix,1128,162419,0.0068988940321512,0.9943977591036415,0.9441489361702128,0.9686221009549796,0.999578102930656,0.9413131660211788,0.972270347808666,,,0.05585106382978723,3.694149083543181e-05,1065.0,6.0,162413.0,63.0
ctt_test01,GradientBoosting / window_5,window_5,final_grain_can_b1_granularity_full_matrix,1128,162419,0.0068988940321512,0.9584664536741214,0.7978723404255319,0.8708272859216256,0.9983674417751472,0.9301390542701627,0.9824948317114256,,,0.20212765957446807,0.0002401196904303068,900.0,39.0,162380.0,228.0
ctt_test01,GradientBoosting / window_50,window_50,final_grain_can_b1_granularity_full_matrix,1128,162419,0.0068988940321512,0.9990272373540856,0.9104609929078015,0.9526901669758813,0.9993763260714046,0.9206990713250728,0.9589913253709828,,,0.08953900709219859,6.156915139238636e-06,1027.0,1.0,162418.0,101.0
ctt_test01,MLP / sample,sample,final_grain_can_a1_negative_stability,1128,162419,0.0068988940321512,0.20934959349593496,0.36524822695035464,0.2661498708010336,0.9861079689630504,0.3565176808921402,0.6208282972235171,,,0.6347517730496454,0.009580159956655317,412.0,1556.0,160863.0,716.0
ctt_test01,Transformer,window100_deep,cmf_tables_overall_main_results_refined,1128,162419,0.0068988940321512,1.0,0.9308510638297872,0.9641873278236914,0.9995230728781329,0.98438087210754,0.9968966598253644,,,0.06914893617021277,0.0,1050.0,0.0,162419.0,78.0
ctt_test01,transformer / old_window100_deep,old_window100_deep,final_grain_can_b1_granularity_full_matrix,1128,162419,0.0068988940321512,1.0,0.9308510638297872,0.9641873278236914,0.9976500298130546,0.98438087210754,0.9968966598253644,0.9715468184169684,0.9741334712881532,0.06914893617021277,0.0,1050.0,0.0,162419.0,78.0
ctt_test02,GradientBoosting / sample,sample,final_grain_can_b1_granularity_full_matrix,2137,168863,0.0124977070130811,,,,,0.9459407282859518,0.998277110503329,,,,,,,,
ctt_test02,GradientBoosting / sample,sample,final_grain_can_a1_negative_stability,2137,168863,0.0124977070130811,0.9314410480349345,0.9981282171268133,0.9636322566071831,0.9990584795321638,0.9364948365791564,0.9981682653031722,,,0.0018717828731867104,0.0009297477837063181,2133.0,157.0,168706.0,4.0
ctt_test02,GradientBoosting / window_10,window_10,final_grain_can_b1_granularity_full_matrix,2137,168863,0.0124977070130811,0.9957805907172996,0.9939167056621432,0.994847775175644,0.9998713450292398,0.9901441834923794,0.9967256013347936,,,0.006083294337856809,5.3297643651954545e-05,2124.0,9.0,168854.0,13.0
ctt_test02,GradientBoosting / window_100,window_100,final_grain_can_b1_granularity_full_matrix,2137,168863,0.0124977070130811,0.983679525222552,0.9307440336920917,0.9564799230584276,0.9989415204678362,0.9353957929975344,0.9652049300331677,,,0.06925596630790828,0.0001954246933905,1989.0,33.0,168830.0,148.0
ctt_test02,GradientBoosting / window_20,window_20,final_grain_can_b1_granularity_full_matrix,2137,168863,0.0124977070130811,0.995764705882353,0.9901731399157697,0.9929610511496949,0.9998245614035087,0.9866476296414944,0.9942406364995052,,,0.009826860084230228,5.3297643651954545e-05,2116.0,9.0,168854.0,21.0
ctt_test02,GradientBoosting / window_5,window_5,final_grain_can_b1_granularity_full_matrix,2137,168863,0.0124977070130811,0.9859078590785908,0.8511932615816565,0.9136112506278252,0.9979883040935672,0.980603131662038,0.9974637582367644,,,0.14880673841834346,0.0001539709705500909,1819.0,26.0,168837.0,318.0
ctt_test02,GradientBoosting / window_50,window_50,final_grain_can_b1_granularity_full_matrix,2137,168863,0.0124977070130811,0.9980722891566265,0.9691155825924193,0.9833808167141499,0.9995906432748538,0.970291855148474,0.9847852407983452,,,0.03088441740758072,2.3687841623090906e-05,2071.0,4.0,168859.0,66.0
ctt_test02,MLP / sample,sample,final_grain_can_a1_negative_stability,2137,168863,0.0124977070130811,0.2827566647759501,0.9330837622835751,0.43399717052998155,0.9695847953216374,0.1937327668633328,0.935832234977277,,,0.0669162377164249,0.029953275732398452,1994.0,5058.0,163805.0,143.0
ctt_test02,transformer / old_window100_deep,old_window100_deep,final_grain_can_b1_granularity_full_matrix,2137,168863,0.0124977070130811,0.08697952704627783,1.0,0.1600389425597244,0.0869794493989918,0.0488543960236108,0.1151742375223511,0.0,0.0005349500713266,0.0,0.1328414158222938,2137.0,22432.0,146431.0,0.0
ctt_test03,GradientBoosting / sample,sample,final_grain_can_a1_negative_stability,704,192168,0.0036489260522443,0.7191558441558441,0.6292613636363636,0.6712121212121211,0.997749802978141,0.5969476747210563,0.7959460319363308,,,0.37073863636363635,0.0009002539444652595,443.0,173.0,191995.0,261.0
ctt_test03,GradientBoosting / sample,sample,final_grain_can_b1_granularity_full_matrix,704,192168,0.0036489260522443,,,,,0.5443757866734771,0.7500649073201824,,,,,,,,
ctt_test03,GradientBoosting / window_10,window_10,final_grain_can_b1_granularity_full_matrix,704,192168,0.0036489260522443,0.963254593175853,0.5213068181818182,0.6764976958525346,0.9981801401966071,0.6777720549468647,0.8478090651608308,,,0.4786931818181818,7.285292036135049e-05,367.0,14.0,192154.0,337.0
ctt_test03,GradientBoosting / window_100,window_100,final_grain_can_b1_granularity_full_matrix,704,192168,0.0036489260522443,1.0,0.6619318181818182,0.7965811965811965,0.9987660209880128,0.9249902867151728,0.9597628266647094,,,0.3380681818181818,0.0,466.0,0.0,192168.0,238.0
ctt_test03,GradientBoosting / window_20,window_20,final_grain_can_b1_granularity_full_matrix,704,192168,0.0036489260522443,0.9943820224719101,0.5028409090909091,0.6679245283018869,0.9981749554108424,0.7094153163550865,0.8527282504216144,,,0.4971590909090909,1.0407560051621499e-05,354.0,2.0,192166.0,350.0
ctt_test03,GradientBoosting / window_5,window_5,final_grain_can_b1_granularity_full_matrix,704,192168,0.0036489260522443,0.9437340153452686,0.5241477272727273,0.6739726027397261,0.9981490314820192,0.6563350199972754,0.837446675461304,,,0.4758522727272727,0.00011448316056783647,369.0,22.0,192146.0,335.0
ctt_test03,GradientBoosting / window_50,window_50,final_grain_can_b1_granularity_full_matrix,704,192168,0.0036489260522443,1.0,0.5880681818181818,0.740608228980322,0.9984964121282509,0.853070741558628,0.923402523710035,,,0.4119318181818182,0.0,414.0,0.0,192168.0,290.0
ctt_test03,MLP / sample,sample,final_grain_can_a1_negative_stability,704,192168,0.0036489260522443,0.08667667882428663,0.5738636363636364,0.1506057781919851,0.9763729312704799,0.2444864734963839,0.7027241072070918,,,0.42613636363636365,0.022152491569876358,404.0,4257.0,187911.0,300.0
