model,setting,predictions_available,scores_available,conventional_metrics_computed,attack_positive_F1_computed,AUPR_computed,AUROC_computed,fixed_FPR_detection_rate_computed,event_recall_computed,directly_comparable_with_prior_reported_F1,note
GradientBoosting / sample,ctt_test01,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_a1_negative_stability
GradientBoosting / sample,ctt_test01,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_10,ctt_test01,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_100,ctt_test01,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_20,ctt_test01,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_5,ctt_test01,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_50,ctt_test01,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
MLP / sample,ctt_test01,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_a1_negative_stability
Transformer,ctt_test01,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,cmf_tables_overall_main_results_refined
transformer / old_window100_deep,ctt_test01,summary_or_score_dump,True,True,True,True,True,True,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / sample,ctt_test02,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / sample,ctt_test02,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_a1_negative_stability
GradientBoosting / window_10,ctt_test02,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_100,ctt_test02,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_20,ctt_test02,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_5,ctt_test02,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_50,ctt_test02,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
MLP / sample,ctt_test02,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_a1_negative_stability
transformer / old_window100_deep,ctt_test02,summary_or_score_dump,True,True,True,True,True,True,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / sample,ctt_test03,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_a1_negative_stability
GradientBoosting / sample,ctt_test03,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_10,ctt_test03,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_100,ctt_test03,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_20,ctt_test03,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_5,ctt_test03,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / window_50,ctt_test03,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
MLP / sample,ctt_test03,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_a1_negative_stability
transformer / old_window100_deep,ctt_test03,summary_or_score_dump,True,True,True,True,True,True,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
GradientBoosting / sample,ctt_test04,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_a1_negative_stability
GradientBoosting / sample,ctt_test04,summary_or_score_dump,True,True,True,True,True,False,False,only reproduced rows under unified metrics,final_grain_can_b1_granularity_full_matrix
