setting,vehicle_shift,attack_shift,model,precision,recall,f1,fnr,fpr,aupr,auroc,tp,fp,tn,fn,note,delta_f1_grain_minus_raw_trans,delta_recall_grain_minus_raw_trans,delta_fnr_grain_minus_raw_trans,delta_fpr_grain_minus_raw_trans
ctt_test01,known,known,GB-sample,0.8600311041990669,0.9804964539007092,0.9163214581607292,0.0195035460992907,0.0011082447250629,0.9117100963025988,0.9897481766305908,1106.0,180.0,162239.0,22.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",-0.0217985690414902,-0.0390070921985815,0.0390070921985816,6.156915139238636e-06
ctt_test01,known,known,GRAIN-W100,0.9990069513406156,0.8918439716312057,0.9423887587822012,0.1081560283687943,6.156915139238636e-06,0.8959658008443454,0.9461581600772684,1006.0,1.0,162418.0,122.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",-0.0217985690414902,-0.0390070921985815,0.0390070921985816,6.156915139238636e-06
ctt_test01,known,known,Raw-Trans,1.0,0.9308510638297872,0.9641873278236914,0.0691489361702127,0.0,0.98438087210754,0.9968966598253644,1050.0,0.0,162419.0,78.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",-0.0217985690414902,-0.0390070921985815,0.0390070921985816,6.156915139238636e-06
ctt_test02,unknown,known,GB-sample,0.9314410480349344,0.9981282171268132,0.9636322566071832,0.0018717828731867,0.0009297477837063,0.9364948365791564,0.9981682653031722,2133.0,157.0,168706.0,4.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",0.7964409804987032,-0.0692559663079084,0.0692559663079082,-0.1326459911289033
ctt_test02,unknown,known,GRAIN-W100,0.983679525222552,0.9307440336920916,0.9564799230584276,0.0692559663079082,0.0001954246933905,0.9353957929975344,0.9652049300331677,1989.0,33.0,168830.0,148.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",0.7964409804987032,-0.0692559663079084,0.0692559663079082,-0.1326459911289033
ctt_test02,unknown,known,Raw-Trans,0.0869795270462778,1.0,0.1600389425597244,0.0,0.1328414158222938,0.0488543960236108,0.1151742375223511,2137.0,22432.0,146431.0,0.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",0.7964409804987032,-0.0692559663079084,0.0692559663079082,-0.1326459911289033
ctt_test03,known,unknown,GB-sample,0.7191558441558441,0.6292613636363636,0.6712121212121211,0.3707386363636363,0.0009002539444652,0.5969476747210563,0.7959460319363308,443.0,173.0,191995.0,261.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",0.7713357547859652,0.6491477272727273,-0.6491477272727273,0.0
ctt_test03,known,unknown,GRAIN-W100,1.0,0.6619318181818182,0.7965811965811965,0.3380681818181818,0.0,0.9249902867151728,0.9597628266647094,466.0,0.0,192168.0,238.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",0.7713357547859652,0.6491477272727273,-0.6491477272727273,0.0
ctt_test03,known,unknown,Raw-Trans,1.0,0.0127840909090909,0.0252454417952314,0.9872159090909092,0.0,0.2707812715770379,0.6187847176131567,9.0,0.0,192168.0,695.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",0.7713357547859652,0.6491477272727273,-0.6491477272727273,0.0
ctt_test04,unknown,unknown,GB-sample,0.707196029776675,0.4467084639498432,0.5475504322766571,0.5532915360501567,0.0004956171483533,0.3319792997758654,0.6985227914609079,285.0,118.0,237969.0,353.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",0.6456231136198274,-0.4608150470219435,0.4608150470219436,-0.2291011268989906
ctt_test04,unknown,unknown,GRAIN-W100,0.9376770538243626,0.5188087774294671,0.6680121089808275,0.4811912225705329,9.24031971506214e-05,0.784533638387578,0.9024154739312792,331.0,22.0,238065.0,307.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",0.6456231136198274,-0.4608150470219435,0.4608150470219436,-0.2291011268989906
ctt_test04,unknown,unknown,Raw-Trans,0.0113238997698983,0.9796238244514106,0.0223889953610001,0.0203761755485893,0.2291935300961413,0.1732558303780162,0.6453118473827439,625.0,54568.0,183519.0,13.0,"2x2 shift decomposition; Test01-Test04 are categorical settings, not a sequence",0.6456231136198274,-0.4608150470219435,0.4608150470219436,-0.2291011268989906
