setting,variant,feature_groups_used,classifier,window_size,accuracy,precision,recall,f1,fnr,fpr,tp,fp,tn,fn,aupr,auroc,recall_at_fpr_1e_3,source_script,note
ctt_test02,Full GRAIN,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9908336564559906,1.0,0.8946148359486448,0.9443764705882352,0.1053851640513552,0.0,5017,0,58867,591,0.903781179492654,0.9473074179743224,0.8946148359486448,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test03,Full GRAIN,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9193023498210708,1.0,0.0720468770808363,0.1344099378881987,0.9279531229191637,0.0,541,0,78838,6968,0.1527445272597655,0.5360234385404181,0.0720468770808363,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test04,Full GRAIN,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9895083207261725,0.694078947368421,0.1401993355481727,0.2332780541735765,0.8598006644518272,0.0007115803971077,211,93,130602,1294,0.1070976069364559,0.5697438775755325,0.1401993355481727,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test02,Timing only,delta_t_global|delta_t_same_id,GradientBoosting,100,0.992617293524622,0.9836034677723332,0.9306348074179744,0.956386292834891,0.0693651925820256,0.0014779078261165,5219,87,58780,389,0.93546789705079,0.96520800764469,0.9300998573466476,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test03,Timing only,delta_t_global|delta_t_same_id,GradientBoosting,100,0.9705027389486608,0.999597261377366,0.6610733786123318,0.7958316633266533,0.3389266213876681,2.5368477130317865e-05,4964,2,78836,2545,0.931414119660026,0.963428473636164,0.919829537887868,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test04,Timing only,delta_t_global|delta_t_same_id,GradientBoosting,100,0.9942057488653556,0.9404052443384984,0.5242524916943522,0.6732081911262798,0.4757475083056478,0.0003825701059719,789,50,130645,716,0.7867270303618098,0.9036106636142404,0.8053156146179402,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test02,w/o same-ID timing,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9908336564559906,1.0,0.8946148359486448,0.9443764705882352,0.1053851640513552,0.0,5017,0,58867,591,0.903781179492654,0.9473074179743224,0.8946148359486448,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test03,w/o same-ID timing,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9193023498210708,1.0,0.0720468770808363,0.1344099378881987,0.9279531229191637,0.0,541,0,78838,6968,0.1527445272597655,0.5360234385404181,0.0720468770808363,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test04,w/o same-ID timing,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|payload_sum|payload_mean|payload_std|payload_delta_l1,GradientBoosting,100,0.9895083207261725,0.694078947368421,0.1401993355481727,0.2332780541735765,0.8598006644518272,0.0007115803971077,211,93,130602,1294,0.1070976069364559,0.5697438775755325,0.1401993355481727,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test02,w/o payload delta,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std,GradientBoosting,100,0.9908336564559906,1.0,0.8946148359486448,0.9443764705882352,0.1053851640513552,0.0,5017,0,58867,591,0.903781179492654,0.9473074179743224,0.8946148359486448,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
ctt_test03,w/o payload delta,can_id|dlc|data0|data1|data2|data3|data4|data5|data6|data7|delta_t_global|delta_t_same_id|payload_sum|payload_mean|payload_std,GradientBoosting,100,0.9193023498210708,1.0,0.0720468770808363,0.1344099378881987,0.9279531229191637,0.0,541,0,78838,6968,0.1527445272597655,0.5360234385404181,0.0720468770808363,scripts/extra_experiments/run_paper_extra_experiments.py,full retraining per feature mask from cached full W100 GRAIN matrix; validation-F1 threshold
