setting,representation,window_size,classifier,hyperparameters,accuracy,precision,recall,f1,fnr,fpr,tp,fp,tn,fn,aupr,auroc,source_script,status,note
ctt_test03,GRAIN-W100,100,GradientBoosting,"{""ccp_alpha"": 0.0, ""criterion"": ""deprecated"", ""init"": null, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_depth"": 2, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 35, ""n_iter_no_change"": null, ""random_state"": 42, ""subsample"": 1.0, ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.9193023498210708,1.0,0.07204687708083633,0.13440993788819877,0.9279531229191637,0.0,541,0,78838,6968,0.15274452725976553,0.5360234385404181,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
ctt_test04,GRAIN-W100,100,GradientBoosting,"{""ccp_alpha"": 0.0, ""criterion"": ""deprecated"", ""init"": null, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_depth"": 2, ""max_features"": null, ""max_leaf_nodes"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""n_estimators"": 35, ""n_iter_no_change"": null, ""random_state"": 42, ""subsample"": 1.0, ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.9895083207261725,0.694078947368421,0.14019933554817277,0.23327805417357655,0.8598006644518272,0.00071158039710777,211,93,130602,1294,0.10709760693645594,0.5697438775755325,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
ctt_test03,GRAIN-W100,100,HistGradientBoosting,"{""categorical_features"": ""from_dtype"", ""class_weight"": null, ""early_stopping"": ""auto"", ""interaction_cst"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_bins"": 255, ""max_depth"": null, ""max_features"": 1.0, ""max_iter"": 60, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""monotonic_cst"": null, ""n_iter_no_change"": 10, ""random_state"": 42, ""scoring"": ""loss"", ""tol"": 1e-07, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.9193023498210708,1.0,0.07204687708083633,0.13440993788819877,0.9279531229191637,0.0,541,0,78838,6968,0.1571116958363235,0.536121479984861,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
ctt_test04,GRAIN-W100,100,HistGradientBoosting,"{""categorical_features"": ""from_dtype"", ""class_weight"": null, ""early_stopping"": ""auto"", ""interaction_cst"": null, ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""loss"": ""log_loss"", ""max_bins"": 255, ""max_depth"": null, ""max_features"": 1.0, ""max_iter"": 60, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""monotonic_cst"": null, ""n_iter_no_change"": 10, ""random_state"": 42, ""scoring"": ""loss"", ""tol"": 1e-07, ""validation_fraction"": 0.1, ""verbose"": 0, ""warm_start"": false}",0.9895083207261725,0.694078947368421,0.14019933554817277,0.23327805417357655,0.8598006644518272,0.00071158039710777,211,93,130602,1294,0.10816222391875008,0.5694838010793053,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
ctt_test03,GRAIN-W100,100,RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 60, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.9896811701622523,0.9950628366247756,0.8857371154614463,0.9372225745085605,0.11426288453855374,0.0004185798726502448,6651,33,78805,858,0.949458329986701,0.9735908325316958,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
ctt_test04,GRAIN-W100,100,RandomForest,"{""bootstrap"": true, ""ccp_alpha"": 0.0, ""class_weight"": ""balanced_subsample"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""max_leaf_nodes"": null, ""max_samples"": null, ""min_impurity_decrease"": 0.0, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""min_weight_fraction_leaf"": 0.0, ""monotonic_cst"": null, ""n_estimators"": 60, ""n_jobs"": -1, ""oob_score"": false, ""random_state"": 42, ""verbose"": 0, ""warm_start"": false}",0.986338880484115,0.4482995534180694,0.867109634551495,0.5910326086956522,0.132890365448505,0.01228815180381805,1305,1606,129089,200,0.794012229805491,0.9539699604935992,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
ctt_test03,GRAIN-W100,100,LogisticRegression,"{""C"": 1.0, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 300, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.9953906910489073,0.9891319301141835,0.9575176454920762,0.9730680741642983,0.04248235450792383,0.0010020548466475557,7190,79,78759,319,0.9896839982628125,0.9970695827800387,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
ctt_test04,GRAIN-W100,100,LogisticRegression,"{""C"": 1.0, ""class_weight"": ""balanced"", ""dual"": false, ""fit_intercept"": true, ""intercept_scaling"": 1, ""l1_ratio"": 0.0, ""max_iter"": 300, ""n_jobs"": null, ""penalty"": ""deprecated"", ""random_state"": null, ""solver"": ""lbfgs"", ""tol"": 0.0001, ""verbose"": 0, ""warm_start"": false}",0.996875945537065,0.9580536912751678,0.7588039867109635,0.8468668891360772,0.24119601328903653,0.00038257010597191933,1142,50,130645,363,0.9148339865168542,0.977437667445915,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
ctt_test03,GRAIN-W100,100,MLP,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": ""auto"", ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [48], ""learning_rate"": ""constant"", ""learning_rate_init"": 0.001, ""max_fun"": 15000, ""max_iter"": 25, ""momentum"": 0.9, ""n_iter_no_change"": 10, ""nesterovs_momentum"": true, ""power_t"": 0.5, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": false, ""warm_start"": false}",0.922776703301794,0.9636163175303197,0.11639366094020509,0.20769961977186313,0.8836063390597949,0.0004185798726502448,874,33,78805,6635,0.45090983511295896,0.7492798227521497,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
ctt_test04,GRAIN-W100,100,MLP,"{""activation"": ""relu"", ""alpha"": 0.0001, ""batch_size"": ""auto"", ""beta_1"": 0.9, ""beta_2"": 0.999, ""early_stopping"": true, ""epsilon"": 1e-08, ""hidden_layer_sizes"": [48], ""learning_rate"": ""constant"", ""learning_rate_init"": 0.001, ""max_fun"": 15000, ""max_iter"": 25, ""momentum"": 0.9, ""n_iter_no_change"": 10, ""nesterovs_momentum"": true, ""power_t"": 0.5, ""random_state"": 42, ""shuffle"": true, ""solver"": ""adam"", ""tol"": 0.0001, ""validation_fraction"": 0.1, ""verbose"": false, ""warm_start"": false}",0.9888729198184569,0.5787037037037037,0.08305647840531562,0.14526438117373622,0.9169435215946844,0.0006962775928688932,125,91,130604,1380,0.1217423427702688,0.6795853982268829,scripts/extra_experiments/run_paper_extra_experiments.py,completed,same GRAIN-W100 representation; validation-F1 threshold
