Setting,Detector,P,R,F1,FNR,FPR,AUPR,AUROC,R@1e-3,Positive rate
Test01,GB-sample,0.8600311041990669,0.9804964539007092,0.9163214581607292,0.0195035460992907,0.0011082447250629,0.9117100963025988,0.9897481766305908,,0.0068988940321512
Test01,MLP,0.2093495934959349,0.3652482269503546,0.2661498708010336,0.6347517730496454,0.0095801599566553,0.3565176808921402,0.6208282972235171,,0.0068988940321512
Test01,Raw-Trans,1.0,0.9308510638297872,0.9641873278236914,0.0691489361702127,0.0,0.98438087210754,0.9968966598253644,0.9741334712881532,0.0068988940321512
Test01,GRAIN-W100,0.9990069513406156,0.8918439716312057,0.9423887587822012,0.1081560283687943,6.156915139238636e-06,0.8959658008443454,0.9461581600772684,,0.0068988940321512
Test02,GB-sample,0.9314410480349344,0.9981282171268132,0.9636322566071832,0.0018717828731867,0.0009297477837063,0.9364948365791564,0.9981682653031722,,0.0124977070130811
Test02,MLP,0.2827566647759501,0.9330837622835751,0.4339971705299815,0.0669162377164249,0.0299532757323984,0.1937327668633328,0.935832234977277,,0.0124977070130811
Test02,Raw-Trans,0.0869795270462778,1.0,0.1600389425597244,0.0,0.1328414158222938,0.0488543960236108,0.1151742375223511,0.0005349500713266,0.0124977070130811
Test02,GRAIN-W100,0.983679525222552,0.9307440336920916,0.9564799230584276,0.0692559663079082,0.0001954246933905,0.9353957929975344,0.9652049300331677,,0.0124977070130811
Test03,GB-sample,0.7191558441558441,0.6292613636363636,0.6712121212121211,0.3707386363636363,0.0009002539444652,0.5969476747210563,0.7959460319363308,,0.0036489260522443
Test03,MLP,0.0866766788242866,0.5738636363636364,0.1506057781919851,0.4261363636363636,0.0221524915698763,0.2444864734963839,0.7027241072070918,,0.0036489260522443
Test03,Raw-Trans,1.0,0.0127840909090909,0.0252454417952314,0.9872159090909092,0.0,0.2707812715770379,0.6187847176131567,0.1001464908776135,0.0036489260522443
Test03,GRAIN-W100,1.0,0.6619318181818182,0.7965811965811965,0.3380681818181818,0.0,0.9249902867151728,0.9597628266647094,,0.0036489260522443
Test04,GB-sample,0.707196029776675,0.4467084639498432,0.5475504322766571,0.5532915360501567,0.0004956171483533,0.3319792997758654,0.6985227914609079,,0.0026724392684081
Test04,MLP,0.0022959422734514,0.0768025078369906,0.0044585987261146,0.9231974921630094,0.0894336944058264,0.0017747409946736,0.4766925476379154,,0.0026724392684081
Test04,Raw-Trans,0.0113238997698983,0.9796238244514106,0.0223889953610001,0.0203761755485893,0.2291935300961413,0.1732558303780162,0.6453118473827439,0.0584717607973421,0.0026724392684081
Test04,GRAIN-W100,0.9376770538243626,0.5188087774294671,0.6680121089808275,0.4811912225705329,9.24031971506214e-05,0.784533638387578,0.9024154739312792,,0.0026724392684081
