/home/lqa/VIDS/cmf_can/models/cmf.py:26: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.encoder = nn.TransformerEncoder(layer, num_layers=layers)
/home/lqa/VIDS/cmf_can/models/reliable_cmf_can.py:47: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.cross = nn.TransformerEncoder(layer, num_layers=1)
[CMF road/reliable_cmf_can] ep 1/50 loss=0.2229 val_f1=0.9917 val_aupr=0.9965 select_f1=0.9917 thr=0.0067
[CMF road/reliable_cmf_can] ep 2/50 loss=0.0854 val_f1=0.9907 val_aupr=0.9965 select_f1=0.9907 thr=0.9999
[CMF road/reliable_cmf_can] ep 3/50 loss=0.0768 val_f1=0.9888 val_aupr=0.9965 select_f1=0.9888 thr=0.9998
[CMF road/reliable_cmf_can] ep 4/50 loss=0.0751 val_f1=0.9928 val_aupr=0.9963 select_f1=0.9928 thr=0.9999
[CMF road/reliable_cmf_can] ep 5/50 loss=0.0719 val_f1=0.9931 val_aupr=0.9966 select_f1=0.9931 thr=0.9990
[CMF road/reliable_cmf_can] ep 6/50 loss=0.0686 val_f1=0.9931 val_aupr=0.9970 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 7/50 loss=0.0670 val_f1=0.9924 val_aupr=0.9969 select_f1=0.9924 thr=1.0000
[CMF road/reliable_cmf_can] ep 8/50 loss=0.0661 val_f1=0.9931 val_aupr=0.9969 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 9/50 loss=0.0662 val_f1=0.9931 val_aupr=0.9966 select_f1=0.9931 thr=0.9999
[CMF road/reliable_cmf_can] ep 10/50 loss=0.0673 val_f1=0.9931 val_aupr=0.9963 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 11/50 loss=0.0658 val_f1=0.9931 val_aupr=0.9966 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 12/50 loss=0.0645 val_f1=0.9931 val_aupr=0.9966 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 13/50 loss=0.0649 val_f1=0.9933 val_aupr=0.9959 select_f1=0.9933 thr=1.0000
[CMF road/reliable_cmf_can] ep 14/50 loss=0.0641 val_f1=0.9931 val_aupr=0.9957 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 15/50 loss=0.0630 val_f1=0.9933 val_aupr=0.9959 select_f1=0.9933 thr=1.0000
[CMF road/reliable_cmf_can] ep 16/50 loss=0.0628 val_f1=0.9935 val_aupr=0.9959 select_f1=0.9935 thr=1.0000
[CMF road/reliable_cmf_can] ep 17/50 loss=0.0626 val_f1=0.9928 val_aupr=0.9960 select_f1=0.9928 thr=1.0000
[CMF road/reliable_cmf_can] ep 18/50 loss=0.0628 val_f1=0.9935 val_aupr=0.9958 select_f1=0.9935 thr=1.0000
[CMF road/reliable_cmf_can] ep 19/50 loss=0.0629 val_f1=0.9933 val_aupr=0.9958 select_f1=0.9933 thr=1.0000
[CMF road/reliable_cmf_can] ep 20/50 loss=0.0626 val_f1=0.9931 val_aupr=0.9958 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 21/50 loss=0.0622 val_f1=0.9931 val_aupr=0.9959 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 22/50 loss=0.0619 val_f1=0.9935 val_aupr=0.9959 select_f1=0.9935 thr=1.0000
[CMF road/reliable_cmf_can] ep 23/50 loss=0.0619 val_f1=0.9935 val_aupr=0.9958 select_f1=0.9935 thr=1.0000
[CMF road/reliable_cmf_can] ep 24/50 loss=0.0622 val_f1=0.9931 val_aupr=0.9958 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 25/50 loss=0.0618 val_f1=0.9933 val_aupr=0.9958 select_f1=0.9933 thr=1.0000
[CMF road/reliable_cmf_can] ep 26/50 loss=0.0616 val_f1=0.9931 val_aupr=0.9959 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 27/50 loss=0.0617 val_f1=0.9931 val_aupr=0.9958 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 28/50 loss=0.0617 val_f1=0.9931 val_aupr=0.9959 select_f1=0.9931 thr=1.0000
[CMF road/reliable_cmf_can] ep 29/50 loss=0.0615 val_f1=0.9921 val_aupr=0.9959 select_f1=0.9921 thr=1.0000
[CMF road/reliable_cmf_can] ep 30/50 loss=0.0615 val_f1=0.9931 val_aupr=0.9958 select_f1=0.9931 thr=1.0000
