dataset,model,variant,seed,label_ratio,accuracy,precision,recall,f1,macro_f1,weighted_f1,fpr,fnr,threshold,auroc
road,transformer,full,42,0.01,0.9800776334213651,0.4305555555555556,0.17481203007518797,0.24866310160427807,0.6192840395305614,0.9759259747111894,0.004444042995212718,0.825187969924812,0.7930150753768844,0.7072279962619945
road,scs_can,wo_ssl,42,0.01,0.9685212428437229,0.22865853658536586,0.2819548872180451,0.25252525252525254,0.6182236626371261,0.97012873687424,0.018281998012826303,0.7180451127819549,0.9210552763819095,0.8289669107734561
road,scs_can,full,42,0.01,0.9362980556195608,0.19895287958115182,0.7857142857142857,0.31750854538549184,0.6420491821487382,0.9543488632936257,0.06080751512961792,0.21428571428571427,0.44829145728643216,0.9577503000116134
road,transformer,full,42,0.05,0.9606161045038019,0.26728295819935693,0.625,0.3744369369369369,0.6770524819743156,0.96825403740111,0.03293288772468612,0.375,0.4926130653266332,0.9673383451855182
road,scs_can,wo_ssl,42,0.05,0.9950548574061929,0.9171094580233794,0.8110902255639098,0.8608478802992519,0.9291652897476699,0.9949059174859152,0.00140908680336013,0.18890977443609022,0.8816582914572865,0.9853132090681949
road,scs_can,full,42,0.05,0.9943813254400113,0.9782330345710627,0.7180451127819549,0.8281842818428184,0.9126641229382932,0.9939575711191262,0.00030710866227079756,0.2819548872180451,0.9850753768844221,0.9754942296577864
road,transformer,full,42,0.1,0.9779506903702654,0.4451219512195122,0.6860902255639098,0.5399408284023669,0.7643227486301518,0.9802414786871657,0.016439346039201518,0.31390977443609025,0.9358291457286433,0.9814765749845665
road,scs_can,wo_ssl,42,0.1,0.9968273099487761,0.9595015576323987,0.868421052631579,0.911692155895412,0.9550383963998452,0.9967497125030407,0.000704543401680065,0.13157894736842105,0.9850753768844221,0.985354849050184
road,scs_can,full,42,0.1,0.9974476683386803,0.9925053533190579,0.8712406015037594,0.9279279279279279,0.9633143789765948,0.9973661312920058,0.00012645650799385783,0.1287593984962406,0.9801507537688443,0.9780701867576538
road,transformer,full,42,0.2,0.9850759495914497,0.5829596412556054,0.7330827067669173,0.649458784346378,0.8209172294726204,0.9859086409536607,0.010080390208653239,0.2669172932330827,0.99,0.984882046367839
road,scs_can,wo_ssl,42,0.2,0.9977135362200678,0.9726996966632963,0.9041353383458647,0.9371651242084754,0.9680003533214603,0.997672545734886,0.0004877608165477373,0.09586466165413533,0.8471859296482412,0.9864338212073404
road,scs_can,full,42,0.2,0.9973767702369769,0.9989106753812637,0.8618421052631579,0.9253279515640767,0.9619964431270625,0.9972818802217658,1.8065215427693975e-05,0.13815789473684212,0.9801507537688443,0.9854695988231802
road,transformer,full,42,1.0,0.9932824048636097,0.7934875749785776,0.8703007518796992,0.8301210219632452,0.9133472378614764,0.9934343448171274,0.004353716918074248,0.12969924812030076,0.7486934673366834,0.9948598859174854
road,scs_can,wo_ssl,42,1.0,0.9985111398642301,0.9959514170040485,0.924812030075188,0.9590643274853801,0.9791530544689551,0.9984840790646634,7.22608617107759e-05,0.07518796992481203,0.9358291457286433,0.9879031395442811
road,scs_can,full,42,1.0,0.998316170084546,0.9938837920489296,0.9163533834586466,0.9535452322738386,0.9763438886902395,0.9982826301692239,0.00010839129256616385,0.08364661654135339,0.10849246231155779,0.9925411798623104
