dataset,model,variant,seed,label_ratio,accuracy,precision,recall,f1,macro_f1,weighted_f1,fpr,fnr,threshold,auroc
road,transformer,full,42,1.0,0.9944876725925663,0.8425841674249318,0.8703007518796992,0.8562182154415164,0.926704093038129,0.9945313990981032,0.003125282268991058,0.12969924812030076,0.8668844221105528,0.9943171739075808
road,cnn,full,42,1.0,0.9266559137879083,0.05858701895462378,0.19172932330827067,0.08974923009238892,0.525768863928845,0.9453428007340887,0.05921777617198085,0.8082706766917294,0.7486934673366834,0.7109905782430965
road,lstm,full,42,1.0,0.9562204221981957,0.19672131147540983,0.42857142857142855,0.2696629213483146,0.62354838802396,0.9640860769459093,0.033637431126366184,0.5714285714285714,0.6058793969849247,0.9112902757526098
road,scs_can,wo_ssl,42,1.0,0.9985111398642301,0.9939516129032258,0.9266917293233082,0.9591439688715954,0.9791928614735836,0.9984855541525489,0.00010839129256616385,0.07330827067669173,0.99,0.9901613339192077
road,scs_can,full,42,1.0,0.9977312607454936,0.9989339019189766,0.8806390977443609,0.936063936063936,0.9674545383159913,0.9976611564209973,1.8065215427693975e-05,0.1193609022556391,0.9752261306532664,0.987472554115847
hcrl_ch,transformer,full,42,1.0,0.9988817484358633,0.9972924806360957,1.0,0.9986444051684198,0.9988463849608888,0.9988819743000821,0.0019014609959804559,0.0,0.014924623115577889,1.0
hcrl_ch,cnn,full,42,1.0,0.9942105710160518,0.991671236632849,0.9942953366095055,0.992981552981553,0.9940274256108362,0.9942117109559275,0.005848797747129757,0.005704663390494519,0.16758793969849248,0.9990395542566174
hcrl_ch,lstm,full,42,1.0,0.9971689833819325,0.9962223977471754,0.9969071102099728,0.9965646363667594,0.9970785721256481,0.9971691288779999,0.0026476039184537992,0.003092889790027149,0.0592462311557789,0.9994036722740883
hcrl_ch,scs_can,wo_ssl,42,1.0,0.999830139002916,0.9997594584378544,0.9998281727894429,0.9997938144329896,0.9998246980988903,0.9998301398772377,0.00016848388571978723,0.00017182721055706383,0.01,0.9999873107505372
hcrl_ch,scs_can,full,42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.01,1.0
crysys_subset,transformer,full,42,1.0,0.9769820971867008,0.9340579710144927,0.8889655172413793,0.9109540636042402,0.9488684091230055,0.9767396780977059,0.009580964413560749,0.11103448275862068,0.6502010050251257,0.9938757705796502
crysys_subset,cnn,full,42,1.0,0.7194921446839605,0.25431949075477417,0.5786206896551724,0.3533375447462624,0.5871195800945985,0.7589754277821587,0.25900189513581806,0.42137931034482756,0.3842713567839196,0.7376515201022357
crysys_subset,lstm,full,42,1.0,0.88637194008038,0.6181192660550459,0.3717241379310345,0.46425495262704564,0.700350629475881,0.8739072614889819,0.03506001263423879,0.6282758620689655,0.5517085427135678,0.77131893465775
crysys_subset,scs_can,wo_ssl,42,1.0,0.9532334672999635,0.9302752293577982,0.6993103448275862,0.7984251968503937,0.885986725310917,0.9503542062252658,0.008001684565171615,0.3006896551724138,0.7142211055276382,0.9869369231998025
crysys_subset,scs_can,full,42,1.0,0.9609061015710632,0.9662408759124088,0.7303448275862069,0.8318931657501963,0.9048871513505503,0.9585458649157357,0.003895556959359865,0.2696551724137931,0.7437688442211056,0.9911792682306982
