dataset,model,seed,label_ratio,epochs,aux_loss_weight,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,setting,display_model,source,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature
road,transformer,42.0,1.0,20.0,0.2,0.9857494815576312,0.9989669421487604,0.7068713450292398,0.8279109589041096,0.9102389696430576,0.7794058319471616,0.9335419178297376,3.725574204124211e-05,0.2931286549707602,1.0,0.7068713450292398,0.8279109589041096,3.725574204124211e-05,1.0,0.7083333333333334,0.8252075793059399,0.0004284410334742,0.9999943971633912,0.7090643274853801,0.8206429780033841,0.0009686492930722,0.9696332216262816,road,Transformer,road_main_20ep.csv,,,,,,,,
road,stats_only,42.0,1.0,20.0,0.2,0.9245112462113828,0.2465890183028286,0.2708333333333333,0.2581431806305522,0.609187746696874,0.2546414328634426,0.6720703356273937,0.042173499990686,0.7291666666666666,0.8728081956505782,0.0840643274853801,0.1548300235610905,9.313935510310526e-05,0.9970767498016356,0.1052631578947368,0.1888524590163934,0.0004843246465361,0.9944789409637452,0.1154970760233918,0.2035426731078905,0.0009872771640929,0.9923444390296936,road,Stats-only,road_main_20ep.csv,,,,,,,,
road,concat_fusion,42.0,1.0,20.0,0.2,0.9830730782183308,1.0,0.6509502923976608,0.7885764888200133,0.8898800502463634,0.7538768220527791,0.8848564756580024,0.0,0.3490497076023391,0.999992847442627,0.706140350877193,0.8272318561335903,5.588361306186316e-05,0.9883409142494202,0.70796783625731,0.8265414977597612,0.0002607901942886,0.3679612874984741,0.7083333333333334,0.8201438848920864,0.0009686492930722,0.0029075576458126,road,Concat-Fusion,road_main_20ep.csv,,,,,,,,
road,cmf_can,42.0,1.0,20.0,0.2,0.9831262517946082,1.0,0.652046783625731,0.7893805309734513,0.8902957973466197,0.805957074624345,0.943067350483829,0.0,0.347953216374269,0.999998927116394,0.6827485380116959,0.810763888888889,7.451148408248421e-05,0.9999946355819702,0.7076023391812866,0.8248828291435877,0.0004098131624536,0.971481204032898,0.7083333333333334,0.8201438848920864,0.0009686492930722,0.0160623174160718,road,CMF-CAN,road_main_20ep.csv,,,,,,,,
ctt_test02,frame_only,42.0,1.0,20.0,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.3101152520683493,0.8557927779459426,1.0,0.0,1.7847983235697057e-06,0.0005349500713266,0.001068376068376,8.493723138600574e-05,0.0962500721216201,0.00160485021398,0.0031880977683315,0.0004926359420388,0.0435123369097709,0.0051711840228245,0.0101861608710923,0.0009682844378004,0.029004868119955,ctt_test02,Frame-only,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,stats_only,42.0,1.0,20.0,0.2,0.1045831717720046,0.0865799492385786,0.9732524964336662,0.1590141009206386,0.1008164597668099,0.8547503891951407,0.8855980415316163,0.9781711315337964,0.0267475035663338,4.31519761150441e-07,0.8182952924393724,0.8996275240148991,8.493723138600574e-05,8.766603968979325e-06,0.8206134094151213,0.8994429785986514,0.0003907112643756,8.038420673983637e-06,0.8216833095577746,0.8974583698510078,0.0009003346526916,7.603648100484861e-06,ctt_test02,Stats-only,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,concat_fusion,42.0,1.0,20.0,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.8478827358712511,0.9514842881146496,1.0,0.0,4.341912917880295e-06,0.3530670470756062,0.5215329909126828,8.493723138600574e-05,0.2189710140228271,0.5196148359486448,0.6815577125482399,0.0004926359420388,0.164856806397438,0.5937945791726106,0.740329035126723,0.0009852718840776,0.1397317200899124,ctt_test02,Concat-Fusion,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,cmf_can,42.0,1.0,20.0,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.8052438817376351,0.9609348015995924,1.0,0.0,8.834164123072749e-07,0.0481455064194008,0.0917899031106578,8.493723138600574e-05,0.0725719630718231,0.106811697574893,0.1921103271327774,0.0004926359420388,0.0380069352686405,0.153530670470756,0.2638271794086103,0.0009852718840776,0.0289652217179536,ctt_test02,CMF-CAN,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,wo_context,42.0,1.0,20.0,0.2,0.9727336176812718,0.8040113708149084,0.9078102710413696,0.8527638190954774,0.918869731101452,0.9359482578635456,0.9704518139090932,0.0210814208300066,0.0921897289586305,3.95591839333069e-05,0.7803138373751783,0.876163780158174,8.493723138600574e-05,0.0001388977252645,0.8320256776034237,0.9058435255290236,0.0004756484957616,9.33013143367134e-05,0.8532453637660485,0.9157018467132332,0.0009852718840776,8.157080446835607e-05,ctt_test02,-Ctx,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,wo_stats,42.0,1.0,20.0,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.6905296209624207,0.947236663200759,1.0,0.0,1.9337933917996236e-05,0.0089158345221112,0.0176584849019954,8.493723138600574e-05,0.7174463868141174,0.0561697574893009,0.1058467741935483,0.0004926359420388,0.6213377714157104,0.0841654778887303,0.1537960247637667,0.0009852718840776,0.584265947341919,ctt_test02,-Win,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,wo_gate,42.0,1.0,20.0,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.9226291078418614,0.9698586148901582,1.0,0.0,1.3733331388721436e-06,0.4304564907275321,0.6014700386196586,8.493723138600574e-05,0.0004096826887689,0.6492510699001427,0.7849520319068665,0.0004756484957616,0.0002592230157461,0.7198644793152639,0.8321137792435329,0.0009852718840776,0.0002141258592018,ctt_test02,-Gate,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,wo_xattn,42.0,1.0,20.0,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.9061111906539266,0.965508164127908,1.0,0.0,2.3311186566843961e-07,0.3209700427960057,0.4856333468231485,8.493723138600574e-05,9.436231630388649e-05,0.5,0.6643762587371164,0.0004926359420388,7.598305091960356e-05,0.5855920114122682,0.733854748603352,0.0009852718840776,6.866373587399721e-05,ctt_test02,-XAttn,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test04,frame_only,42.0,1.0,20.0,0.2,0.524894099848714,0.0184137757667169,0.7787375415282392,0.0359768544809908,0.3603725032868098,0.170763883819797,0.7530913914227273,0.4780289988140326,0.2212624584717608,1.7847983235697057e-06,0.0445182724252491,0.0845425867507886,9.946822755269905e-05,0.9982574582099916,0.0624584717607973,0.1133896260554885,0.0004514327250468,0.9675120115280152,0.1302325581395348,0.2140906608410704,0.0009946822755269,0.0068701803684234,ctt_test04,Frame-only,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test04,stats_only,42.0,1.0,20.0,0.2,0.4110438729198185,0.0155324035886958,0.8132890365448505,0.0304826418289585,0.3037709691338478,0.3084637975823677,0.7561293691952772,0.5935881250239107,0.1867109634551495,4.31519761150441e-07,0.1534883720930232,0.2641509433962264,9.946822755269905e-05,1.9930448615923524e-06,0.1787375415282392,0.2925502990755845,0.0004973411377634,1.5551343039987842e-06,0.2019933554817276,0.3135636926250645,0.0009946822755269,1.3824794677930186e-06,ctt_test04,Stats-only,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test04,concat_fusion,42.0,1.0,20.0,0.2,0.0118608169440242,0.011374902560299,0.998671096345515,0.0224936021191577,0.0117438873690571,0.213738277071198,0.6847415840613922,0.9995026588622364,0.001328903654485,4.341912917880295e-06,0.1222591362126245,0.2162162162162162,9.946822755269905e-05,0.0884598940610885,0.1375415282392026,0.23297692740574,0.0004973411377634,0.0190914962440729,0.1521594684385382,0.2458400429414922,0.0009870308734075,0.0069576548412442,ctt_test04,Concat-Fusion,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test04,cmf_can,42.0,1.0,20.0,0.2,0.561732223903177,0.0170967962760131,0.6637873754152824,0.0333350017518394,0.3749817190963312,0.1731022345205453,0.6828002530300887,0.4394429779257048,0.3362126245847176,8.834164123072749e-07,0.0478405315614617,0.090566037735849,9.946822755269905e-05,0.9948807954788208,0.0617940199335548,0.111913357400722,0.000489689735644,0.9714956879615784,0.135548172757475,0.221980413492927,0.0009870308734075,0.0046452712267637,ctt_test04,CMF-CAN,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test04,wo_context,42.0,1.0,20.0,0.2,0.9889939485627836,0.5912408759124088,0.107641196013289,0.1821247892074199,0.5882922429402863,0.1235543072416896,0.6870154892595032,0.000856957037377,0.892358803986711,3.95591839333069e-05,0.0026578073089701,0.0052770448548812,5.355981483606871e-05,0.2064872682094574,0.015282392026578,0.0289126335637963,0.0004820383335246,0.0177061036229133,0.1196013289036544,0.1986754966887417,0.0009717280691686,2.701367520785425e-05,ctt_test04,-Ctx,ctt_unknown_ablation.csv,ce,2.0,,none,f1,balanced,0.0,0.1
