[CMF road/can_transformer_plus_sameid] ep 1/50 loss=0.1778 val_f1=0.9914 val_aupr=0.9953 select_f1=0.9914 thr=0.9546
[CMF road/can_transformer_plus_sameid] ep 2/50 loss=0.0166 val_f1=0.9933 val_aupr=0.9946 select_f1=0.9933 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 3/50 loss=0.0178 val_f1=0.9962 val_aupr=0.9947 select_f1=0.9962 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 4/50 loss=0.0066 val_f1=0.9950 val_aupr=0.9938 select_f1=0.9950 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 5/50 loss=0.0035 val_f1=0.9903 val_aupr=0.9848 select_f1=0.9903 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 6/50 loss=0.0041 val_f1=0.9952 val_aupr=0.9948 select_f1=0.9952 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 7/50 loss=0.0018 val_f1=0.9952 val_aupr=0.9974 select_f1=0.9952 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 8/50 loss=0.0033 val_f1=0.9955 val_aupr=0.9969 select_f1=0.9955 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 9/50 loss=0.0026 val_f1=0.9959 val_aupr=0.9970 select_f1=0.9959 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 10/50 loss=0.0014 val_f1=0.9954 val_aupr=0.9967 select_f1=0.9954 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 11/50 loss=0.0021 val_f1=0.9935 val_aupr=0.9973 select_f1=0.9935 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 12/50 loss=0.0019 val_f1=0.9959 val_aupr=0.9972 select_f1=0.9959 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 13/50 loss=0.0008 val_f1=0.9961 val_aupr=0.9967 select_f1=0.9961 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 14/50 loss=0.0006 val_f1=0.9962 val_aupr=0.9961 select_f1=0.9962 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 15/50 loss=0.0000 val_f1=0.9964 val_aupr=0.9965 select_f1=0.9964 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 16/50 loss=0.0005 val_f1=0.9943 val_aupr=0.9973 select_f1=0.9943 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 17/50 loss=0.0000 val_f1=0.9962 val_aupr=0.9968 select_f1=0.9962 thr=1.0000
[CMF road/can_transformer_plus_sameid] ep 18/50 loss=0.0009 val_f1=0.9962 val_aupr=0.9974 select_f1=0.9962 thr=1.0000
