[CMF road/tfscan_gate] ep 1/50 loss=0.1980 val_f1=0.9928 val_aupr=0.9966 select_f1=0.9928 thr=0.9828
[CMF road/tfscan_gate] ep 2/50 loss=0.0160 val_f1=0.9931 val_aupr=0.9973 select_f1=0.9931 thr=1.0000
[CMF road/tfscan_gate] ep 3/50 loss=0.0075 val_f1=0.9955 val_aupr=0.9974 select_f1=0.9955 thr=1.0000
[CMF road/tfscan_gate] ep 4/50 loss=0.0062 val_f1=0.9955 val_aupr=0.9963 select_f1=0.9955 thr=1.0000
[CMF road/tfscan_gate] ep 5/50 loss=0.0048 val_f1=0.9940 val_aupr=0.9971 select_f1=0.9940 thr=1.0000
[CMF road/tfscan_gate] ep 6/50 loss=0.0051 val_f1=0.9957 val_aupr=0.9975 select_f1=0.9957 thr=1.0000
[CMF road/tfscan_gate] ep 7/50 loss=0.0016 val_f1=0.9933 val_aupr=0.9975 select_f1=0.9933 thr=1.0000
[CMF road/tfscan_gate] ep 8/50 loss=0.0020 val_f1=0.9931 val_aupr=0.9973 select_f1=0.9931 thr=1.0000
[CMF road/tfscan_gate] ep 9/50 loss=0.0006 val_f1=0.9964 val_aupr=0.9975 select_f1=0.9964 thr=1.0000
[CMF road/tfscan_gate] ep 10/50 loss=0.0015 val_f1=0.9950 val_aupr=0.9975 select_f1=0.9950 thr=1.0000
[CMF road/tfscan_gate] ep 11/50 loss=0.0005 val_f1=0.9957 val_aupr=0.9959 select_f1=0.9957 thr=1.0000
[CMF road/tfscan_gate] ep 12/50 loss=0.0002 val_f1=0.9961 val_aupr=0.9973 select_f1=0.9961 thr=1.0000
[CMF road/tfscan_gate] ep 13/50 loss=0.0000 val_f1=0.9959 val_aupr=0.9962 select_f1=0.9959 thr=1.0000
[CMF road/tfscan_gate] ep 14/50 loss=0.0009 val_f1=0.9945 val_aupr=0.9931 select_f1=0.9945 thr=1.0000
[CMF road/tfscan_gate] ep 15/50 loss=0.0004 val_f1=0.9961 val_aupr=0.9969 select_f1=0.9961 thr=1.0000
[CMF road/tfscan_gate] ep 16/50 loss=0.0012 val_f1=0.9944 val_aupr=0.9926 select_f1=0.9944 thr=1.0000
[CMF road/tfscan_gate] ep 17/50 loss=0.0003 val_f1=0.9962 val_aupr=0.9970 select_f1=0.9962 thr=1.0000
[CMF road/tfscan_gate] ep 18/50 loss=0.0003 val_f1=0.9964 val_aupr=0.9978 select_f1=0.9964 thr=1.0000
[CMF road/tfscan_gate] ep 19/50 loss=0.0003 val_f1=0.9962 val_aupr=0.9971 select_f1=0.9962 thr=1.0000
[CMF road/tfscan_gate] ep 20/50 loss=0.0010 val_f1=0.9955 val_aupr=0.9976 select_f1=0.9955 thr=1.0000
[CMF road/tfscan_gate] ep 21/50 loss=0.0004 val_f1=0.9957 val_aupr=0.9963 select_f1=0.9957 thr=1.0000
[CMF road/tfscan_gate] ep 22/50 loss=0.0003 val_f1=0.9940 val_aupr=0.9919 select_f1=0.9940 thr=1.0000
[CMF road/tfscan_gate] ep 23/50 loss=0.0006 val_f1=0.9957 val_aupr=0.9960 select_f1=0.9957 thr=1.0000
