dataset,model,seed,label_ratio,epochs,aux_loss_weight,accuracy,precision,recall,f1,macro_f1,aupr,auroc,fpr,fnr,threshold,recall_at_fpr_1em04,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,recall_at_fpr_5em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,recall_at_fpr_1em03,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,source,Model,loss,focal_gamma,focal_alpha,sampler,selection_metric,class_weights,supcon_weight,supcon_temperature
ctt_test01,transformer,42.0,1.0,15.0,0.2,0.9976500298130546,1.0,0.9306777030522504,0.9640943193997856,0.9814397915078557,0.98438087210754,0.9968966598253644,0.0,0.0693222969477496,0.6055496573451536,0.9715468184169684,0.9850511408339888,3.630488845323023e-05,2.597585080366116e-07,0.9736161407139162,0.9812304483837332,0.0003812013287589,2.0429632741070241e-07,0.9741334712881532,0.9743855109961188,0.0008894697671041,1.813609173950681e-07,existing_evidence,Transformer,,,,,,,,
ctt_test01,cmf_can,42.0,1.0,15.0,0.2,0.9979481603591596,1.0,0.9394723228142784,0.9687916777807416,0.9838654431335369,0.9781093030763408,0.9907451786831104,0.0,0.0605276771857216,5.481837160914888e-07,0.9653388515261252,0.9815886375591796,5.445733267984534e-05,1.6003291136712505e-07,0.9679255043973098,0.976768467762986,0.0004901159941186,1.200778569909744e-07,0.9684428349715468,0.9701995335579164,0.0009802319882372,1.0197000221978669e-07,existing_evidence,CMF-CAN,,,,,,,,
ctt_test01,can_transformer_plus_sameid,,,,,,,,,,,,,,,,,,,,,,,,,,,not run after ROAD did not exceed Transformer,CAN-Transformer+ same-ID,,,,,,,,
ctt_test01,tfscan_gate,,,,,,,,,,,,,,,,,,,,,,,,,,,not run after ROAD did not exceed Transformer,TFS-CAN gate,,,,,,,,
ctt_test02,transformer,42.0,1.0,15.0,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.0488543960236108,0.1151742375223511,1.0,0.0,0.6055488467219846,0.0,0.0,0.0,1.000000000001,0.0005349500713266,0.0010640184429863,0.0004756484957616,0.9999972581863404,0.0005349500713266,0.0010640184429863,0.0004756484957616,0.9999972581863404,existing_evidence,Transformer,,,,,,,,
ctt_test02,cmf_can,42.0,1.0,15.0,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.9324805949532672,0.9683574023354516,1.0,0.0,5.481834659804459e-07,0.7680099857346647,0.8683467741935484,8.493723138600574e-05,0.0004529231227934,0.8074179743223966,0.8909878000787091,0.0004756484957616,0.0003289463056717,0.829172610556348,0.9015122140364482,0.0009852718840776,0.0002767667756415,existing_evidence,CMF-CAN,,,,,,,,
ctt_test02,wo_context,42.0,1.0,20.0,0.2,0.9727336176812718,0.8040113708149084,0.9078102710413696,0.8527638190954774,0.918869731101452,0.9359482578635456,0.9704518139090932,0.0210814208300066,0.0921897289586305,3.95591839333069e-05,0.7803138373751783,0.876163780158174,8.493723138600574e-05,0.0001388977252645,0.8320256776034237,0.9058435255290236,0.0004756484957616,9.33013143367134e-05,0.8532453637660485,0.9157018467132332,0.0009852718840776,8.157080446835607e-05,existing_evidence,wo_context,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,stats_only,42.0,1.0,20.0,0.2,0.1045831717720046,0.0865799492385786,0.9732524964336662,0.1590141009206386,0.1008164597668099,0.8547503891951407,0.8855980415316163,0.9781711315337964,0.0267475035663338,4.31519761150441e-07,0.8182952924393724,0.8996275240148991,8.493723138600574e-05,8.766603968979325e-06,0.8206134094151213,0.8994429785986514,0.0003907112643756,8.038420673983637e-06,0.8216833095577746,0.8974583698510078,0.0009003346526916,7.603648100484861e-06,existing_evidence,stats_only,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,frame_only,42.0,1.0,20.0,0.2,0.0869794493989918,0.0869794493989918,1.0,0.160038811123953,0.0800194055619765,0.3101152520683493,0.8557927779459426,1.0,0.0,1.7847983235697057e-06,0.0005349500713266,0.001068376068376,8.493723138600574e-05,0.0962500721216201,0.00160485021398,0.0031880977683315,0.0004926359420388,0.0435123369097709,0.0051711840228245,0.0101861608710923,0.0009682844378004,0.029004868119955,existing_evidence,frame_only,ce,2.0,,none,f1,balanced,0.0,0.1
ctt_test02,can_transformer_plus_sameid,,,,,,,,,,,,,,,,,,,,,,,,,,,not run after ROAD did not exceed Transformer,CAN-Transformer+ same-ID,,,,,,,,
ctt_test02,tfscan_gate,,,,,,,,,,,,,,,,,,,,,,,,,,,not run after ROAD did not exceed Transformer,TFS-CAN gate,,,,,,,,
